iter	Accuracy	Logloss
0	0.570743716	0.6926370123
1	0.5890126976	0.6921773269
2	0.6147965794	0.6915914907
3	0.6041720653	0.6911777359
4	0.6155739829	0.6907445587
5	0.6154444157	0.6899967633
6	0.6101321586	0.6895941433
7	0.6101321586	0.6888415398
8	0.598730241	0.6884231034
9	0.6136304742	0.6880443343
10	0.6074112464	0.6876388672
11	0.6195905675	0.6872375757
12	0.6169992226	0.686778523
13	0.6169992226	0.6862774622
14	0.6133713397	0.685866238
15	0.614019176	0.685169561
16	0.6207566727	0.6848279919
17	0.6219227779	0.6843210474
18	0.62088624	0.6839468334
19	0.6232184504	0.6835378868
20	0.6246436901	0.6831753769
21	0.6217932107	0.6828754995
22	0.6369525784	0.6822370898
23	0.6355273387	0.6818743901
24	0.6361751749	0.6815147271
25	0.6374708474	0.6811248234
26	0.6392847888	0.6811124234
27	0.6359160404	0.6806331891
28	0.6308629179	0.6802549261
29	0.6342316662	0.6797929632
30	0.6486136305	0.6788912435
31	0.648354496	0.678310848
32	0.6449857476	0.6780269768
33	0.6456335838	0.6776693383
34	0.6480953615	0.6773007549
35	0.6517232444	0.6770457959
36	0.6515936771	0.6767166268
37	0.6526302151	0.6762804129
38	0.6545737238	0.6759878743
39	0.6545737238	0.6754473992
40	0.6530189168	0.6751494199
41	0.6528893496	0.6746495611
42	0.6519823789	0.6741262942
43	0.6514641099	0.6736451619
44	0.6540554548	0.6733295315
45	0.6534076186	0.6728407441
46	0.6526302151	0.6726526565
47	0.6601451153	0.6719706571
48	0.6585903084	0.671666794
49	0.6580720394	0.6713752045
50	0.6572946359	0.6710383802
51	0.6566467997	0.6707984151
52	0.6558693962	0.6705228949
53	0.6559989635	0.6702741359
54	0.6606633843	0.6694442856
55	0.661052086	0.6692682816
56	0.6622181912	0.6690524838
57	0.661052086	0.6688351044
58	0.661052086	0.6683799109
59	0.661570355	0.668125205
60	0.6613112205	0.6678966909
61	0.6618294895	0.6675436707
62	0.6578129049	0.6673071219
63	0.6614407878	0.6670460895
64	0.661052086	0.666941259
65	0.6624773257	0.6662116208
66	0.6614407878	0.6659141475
67	0.6607929515	0.6656231273
68	0.6593677118	0.6652904154
69	0.6601451153	0.665063989
70	0.6593677118	0.6648108647
