iter	Accuracy	Logloss
0	0.5313861132	0.6931408898
1	0.5493210351	0.6931249726
2	0.5631565462	0.6931143128
3	0.5659748911	0.6931066767
4	0.5818601076	0.6930949277
5	0.5831411735	0.6930811014
6	0.5857033051	0.6930751271
7	0.5887778632	0.6930673584
8	0.5949269792	0.6930457003
9	0.59902639	0.6930228902
10	0.5967204714	0.6930120884
11	0.5982577504	0.6930052992
12	0.5985139636	0.6929994366
13	0.5995388163	0.6929894186
14	0.6023571612	0.6929722814
15	0.6026133743	0.6929684115
16	0.6046630797	0.6929653918
17	0.605175506	0.6929479641
18	0.6003074558	0.6929328883
19	0.6059441455	0.6929215906
20	0.606712785	0.6929156458
21	0.6054317192	0.6929050525
22	0.6082500641	0.6928995996
23	0.6077376377	0.6928935933
24	0.6105559826	0.6928739467
25	0.6105559826	0.6928711999
26	0.6102997694	0.692868648
27	0.6072252114	0.6928630156
28	0.6085062772	0.6928448993
29	0.6092749167	0.6928372155
30	0.6100435562	0.6928217318
31	0.6118370484	0.6928011581
32	0.615680246	0.6927783832
33	0.6154240328	0.6927605649
34	0.6164488855	0.6927577627
35	0.6174737382	0.6927554057
36	0.6128619011	0.6927408546
37	0.6115808353	0.6927190168
38	0.6136305406	0.6927118343
39	0.6167050986	0.6927064219
40	0.6182423777	0.6926959953
41	0.6197796567	0.6926904814
42	0.6149116065	0.6926873485
43	0.6154240328	0.6926853674
44	0.6143991801	0.6926686612
45	0.6143991801	0.692645847
46	0.6151678196	0.6926416896
47	0.6149116065	0.6926244791
48	0.6161926723	0.6926108031
49	0.6159364591	0.6926043983
50	0.6149116065	0.6925964554
51	0.6169613118	0.692588019
52	0.6182423777	0.6925778254
53	0.6138867538	0.6925569455
54	0.6110684089	0.6925525241
55	0.6143991801	0.6925462138
56	0.615680246	0.6925413529
57	0.6164488855	0.6925318438
58	0.6164488855	0.6925289954
59	0.6159364591	0.6925218427
60	0.6159364591	0.6925128389
61	0.6169613118	0.6925048391
62	0.6167050986	0.6925015275
63	0.6161926723	0.6924931864
64	0.6159364591	0.6924888753
65	0.6161926723	0.6924833759
66	0.6174737382	0.6924745469
67	0.6182423777	0.6924663486
68	0.6184985908	0.6924587271
69	0.6167050986	0.6924472089
70	0.6151678196	0.6924239377
71	0.6141429669	0.6923938764
72	0.6190110172	0.692368629
73	0.6141429669	0.6923457518
74	0.6154240328	0.6923342524
75	0.6143991801	0.6923308839
76	0.617217525	0.6923264314
77	0.6182423777	0.6923219656
78	0.6164488855	0.6923046133
79	0.6161926723	0.6922917542
80	0.6169613118	0.6922875036
81	0.6151678196	0.6922803879
82	0.6164488855	0.6922688037
83	0.6167050986	0.6922599854
84	0.6197796567	0.6922496545
85	0.6141429669	0.6922265431
86	0.6167050986	0.6922053685
87	0.6159364591	0.6921981997
88	0.6164488855	0.6921928873
89	0.6182423777	0.6921810787
90	0.6179861645	0.6921747637
91	0.6179861645	0.6921680215
92	0.6184985908	0.6921612978
93	0.618754804	0.6921550592
94	0.6190110172	0.6921499563
95	0.6190110172	0.6921424019
96	0.6205482962	0.692117836
97	0.6197796567	0.6921053483
98	0.6192672303	0.6920910051
99	0.6200358698	0.692086113
100	0.6205482962	0.6920798559
101	0.618754804	0.6920711783
102	0.6177299513	0.6920572827
103	0.617217525	0.6920469829
104	0.6192672303	0.6920392186
105	0.620292083	0.6920336509
106	0.6228542147	0.6920275866
107	0.6241352806	0.6920201772
108	0.6243914937	0.692012047
109	0.6254163464	0.6920086666
110	0.6251601332	0.6919933771
111	0.6231104279	0.6919767764
112	0.6256725596	0.6919575158
113	0.6249039201	0.691949664
114	0.6261849859	0.6919433711
115	0.6259287727	0.6919377739
116	0.6254163464	0.6919312169
117	0.6261849859	0.6919130114
118	0.6264411991	0.6918931289
119	0.6243914937	0.6918768128
120	0.6238790674	0.691863557
121	0.6231104279	0.6918538675
122	0.6259287727	0.6918355789
123	0.6261849859	0.6918186516
124	0.6256725596	0.6918124333
125	0.6249039201	0.6917944971
126	0.6243914937	0.6917871556
127	0.6261849859	0.6917762767
128	0.6246477069	0.6917594987
129	0.6249039201	0.691754352
130	0.6256725596	0.6917476227
131	0.6261849859	0.691741517
132	0.6256725596	0.6917280235
133	0.6251601332	0.6917246243
134	0.6251601332	0.6917191934
135	0.6261849859	0.6917137647
136	0.6269536254	0.6917093546
137	0.6261849859	0.6917009924
138	0.6272098386	0.6916961377
139	0.6241352806	0.6916720946
140	0.6261849859	0.6916592235
141	0.6261849859	0.6916515122
142	0.6269536254	0.6916419644
143	0.6277222649	0.6916214653
144	0.6259287727	0.6916107847
145	0.6269536254	0.6915994783
146	0.6277222649	0.6915911202
147	0.6279784781	0.6915853441
148	0.6290033308	0.6915746277
149	0.6282346913	0.6915695897
150	0.6282346913	0.6915637571
151	0.6295157571	0.6915415521
152	0.6302843966	0.6915265051
153	0.6300281834	0.6915209169
154	0.6302843966	0.6915185075
155	0.6292595439	0.6915127482
156	0.6290033308	0.6915040952
157	0.6284909044	0.6914972152
158	0.6282346913	0.6914859531
159	0.6295157571	0.6914800777
160	0.6274660518	0.6914520118
161	0.6269536254	0.6914415877
162	0.6279784781	0.6914353915
163	0.6277222649	0.6914186289
164	0.6272098386	0.6914139784
165	0.6266974122	0.6914062126
166	0.6277222649	0.6913987213
167	0.6295157571	0.6913782072
168	0.6290033308	0.6913752578
169	0.6295157571	0.6913590697
170	0.6282346913	0.6913437508
171	0.6279784781	0.6913376644
172	0.6272098386	0.6913195444
173	0.6272098386	0.6913183247
174	0.6279784781	0.6912978808
175	0.6282346913	0.6912820485
176	0.6279784781	0.6912787564
177	0.6269536254	0.6912675012
178	0.6292595439	0.6912643493
179	0.6277222649	0.6912553921
180	0.6279784781	0.6912483856
181	0.6274660518	0.6912326597
182	0.6272098386	0.6912282012
183	0.6290033308	0.6912240778
184	0.6290033308	0.691218377
185	0.6300281834	0.691213252
186	0.6300281834	0.6912079776
187	0.6297719703	0.6911930784
188	0.6292595439	0.6911899993
189	0.6284909044	0.691174465
190	0.6282346913	0.6911662696
191	0.6290033308	0.6911596582
192	0.6292595439	0.6911367436
193	0.6297719703	0.6911276773
194	0.6287471176	0.6911037916
