iter	Passed	Remaining
0	30	90543
1	76	114601
2	132	132086
3	178	134058
4	217	130322
5	261	130697
6	300	128310
7	358	133905
8	406	135002
9	433	129606
10	459	124944
11	494	123089
12	529	121648
13	573	122328
14	610	121507
15	651	121563
16	688	120778
17	711	117927
18	741	116274
19	757	112848
20	782	110984
21	799	108277
22	816	105685
23	832	103290
24	855	101794
25	892	102140
26	922	101606
27	939	99726
28	961	98465
29	989	97911
30	1012	96952
31	1049	97331
32	1082	97284
33	1106	96490
34	1138	96448
35	1167	96145
36	1200	96098
37	1228	95774
38	1259	95603
39	1287	95266
40	1314	94895
41	1348	94968
42	1382	95042
43	1415	95065
44	1443	94818
45	1474	94660
46	1511	94949
47	1546	95136
48	1573	94748
49	1607	94826
50	1637	94658
51	1659	94085
52	1691	94072
53	1729	94346
54	1755	94018
55	1776	93401
56	1792	92562
57	1837	93185
58	1870	93218
59	1898	93028
60	1922	92612
61	1951	92479
62	1981	92388
63	2008	92119
64	2027	91570
65	2049	91120
66	2071	90685
67	2093	90268
68	2119	90032
69	2141	89641
70	2164	89301
71	2183	88792
72	2201	88259
73	2221	87824
74	2247	87638
75	2268	87277
76	2290	86947
77	2311	86583
78	2334	86318
79	2353	85893
80	2377	85692
81	2408	85710
82	2429	85371
83	2452	85127
84	2474	84843
85	2499	84691
86	2525	84569
87	2544	84205
88	2561	83786
89	2584	83565
90	2608	83384
91	2644	83596
92	2678	83711
93	2712	83860
94	2738	83743
95	2776	83987
96	2833	84792
97	2871	85034
98	2892	84770
99	2918	84641
100	2940	84411
101	2971	84412
102	2999	84378
103	3021	84125
104	3043	83922
105	3068	83766
106	3091	83594
107	3122	83622
108	3143	83370
109	3169	83274
110	3196	83201
111	3228	83249
112	3253	83121
113	3278	82992
114	3299	82778
115	3319	82540
116	3344	82419
117	3371	82351
118	3395	82215
119	3419	82064
120	3438	81804
121	3456	81546
122	3481	81437
123	3503	81260
124	3515	80846
125	3538	80708
126	3550	80330
127	3568	80060
128	3587	79852
129	3609	79691
130	3622	79339
131	3635	78980
132	3648	78647
133	3658	78257
134	3675	78005
135	3701	77952
136	3716	77662
137	3734	77451
138	3758	77362
139	3782	77266
140	3802	77104
141	3822	76943
142	3869	77309
143	3897	77299
144	3912	77030
145	3930	76833
146	3964	76935
147	3981	76726
148	4003	76605
149	4040	76773
150	4071	76811
151	4115	77119
152	4150	77239
153	4185	77343
154	4213	77333
155	4238	77271
156	4258	77113
157	4275	76904
158	4286	76590
159	4301	76346
160	4312	76050
161	4327	75815
162	4350	75712
163	4370	75581
164	4386	75362
165	4402	75164
166	4432	75191
167	4462	75220
168	4488	75187
169	4513	75143
170	4535	75032
171	4555	74899
172	4577	74805
173	4595	74629
174	4613	74468
175	4642	74491
176	4659	74321
177	4681	74217
178	4705	74159
179	4723	74006
180	4747	73942
181	4767	73815
182	4799	73873
183	4818	73741
184	4839	73643
185	4855	73463
186	4870	73263
187	4887	73109
188	4907	72982
189	4918	72748
190	4936	72601
191	4964	72599
192	4984	72495
193	5001	72347
194	5019	72202
195	5036	72057
196	5051	71881
197	5068	71724
198	5083	71553
199	5106	71485
200	5132	71470
201	5146	71279
202	5170	71240
203	5183	71042
204	5199	70894
205	5208	70645
206	5222	70469
207	5242	70368
208	5265	70321
209	5282	70177
210	5301	70076
211	5315	69902
212	5335	69813
213	5349	69648
214	5368	69537
215	5400	69606
216	5419	69505
217	5444	69474
218	5470	69465
219	5485	69314
220	5502	69192
221	5520	69085
222	5535	68935
223	5556	68860
224	5569	68696
225	5582	68527
226	5600	68414
227	5615	68278
228	5633	68169
229	5656	68122
230	5681	68104
231	5700	68007
232	5733	68091
233	5773	68248
234	5814	68408
235	5847	68486
236	5888	68645
237	5914	68633
238	5933	68550
239	5960	68543
240	5978	68439
241	6003	68420
242	6023	68342
243	6048	68321
244	6062	68173
245	6075	68010
246	6093	67922
247	6109	67798
248	6127	67700
249	6147	67620
250	6166	67531
251	6188	67483
252	6202	67349
253	6215	67193
254	6232	67093
255	6244	66934
256	6269	66911
257	6283	66781
258	6298	66652
259	6314	66546
260	6342	66556
261	6373	66604
262	6396	66566
263	6423	66575
264	6450	66577
265	6481	66615
266	6507	66606
267	6518	66450
268	6535	66348
269	6553	66259
270	6577	66231
271	6598	66178
272	6618	66107
273	6630	65970
274	6642	65821
275	6671	65848
276	6687	65741
277	6700	65608
278	6713	65478
279	6726	65338
280	6740	65222
281	6755	65110
282	6768	64985
283	6782	64862
284	6801	64794
285	6820	64725
286	6845	64712
287	6857	64572
288	6871	64455
289	6891	64396
290	6906	64295
291	6924	64213
292	6936	64081
293	6945	63927
294	6979	63995
295	6994	63898
296	7011	63814
297	7031	63759
298	7047	63659
299	7067	63603
300	7086	63541
301	7104	63473
302	7122	63401
303	7147	63390
304	7168	63338
305	7186	63272
306	7204	63201
307	7232	63210
308	7254	63180
309	7272	63102
310	7293	63063
311	7317	63042
312	7332	62943
313	7352	62894
314	7366	62792
315	7382	62706
316	7406	62685
317	7428	62648
318	7460	62699
319	7475	62611
320	7494	62548
321	7513	62491
322	7539	62485
323	7562	62456
324	7578	62379
325	7597	62320
326	7616	62257
327	7636	62213
328	7655	62149
329	7671	62067
330	7689	62005
331	7713	61985
332	7736	61963
333	7753	61888
334	7770	61814
335	7788	61752
336	7803	61667
337	7822	61604
338	7835	61508
339	7855	61455
340	7873	61397
341	7893	61346
342	7910	61277
343	7926	61196
344	7945	61146
345	7959	61053
346	7999	61158
347	8022	61136
348	8046	61124
349	8072	61124
350	8095	61099
351	8120	61089
352	8144	61069
353	8175	61111
354	8206	61141
355	8227	61104
356	8252	61093
357	8271	61042
358	8290	60993
359	8312	60957
360	8331	60904
361	8342	60793
362	8356	60707
363	8374	60642
364	8390	60575
365	8416	60574
366	8433	60501
367	8451	60448
368	8476	60436
369	8503	60444
370	8521	60383
371	8539	60324
372	8558	60275
373	8578	60232
374	8597	60183
375	8611	60099
376	8633	60070
377	8651	60011
378	8666	59932
379	8685	59883
380	8700	59806
381	8718	59751
382	8736	59696
383	8753	59632
384	8770	59573
385	8790	59531
386	8807	59468
387	8823	59401
388	8838	59324
389	8853	59251
390	8872	59204
391	8891	59154
392	8907	59088
393	8925	59035
394	8941	58970
395	8958	58911
396	8995	58983
397	9019	58968
398	9035	58898
399	9053	58846
400	9070	58790
401	9084	58713
402	9095	58613
403	9108	58531
404	9124	58465
405	9145	58431
406	9163	58379
407	9181	58331
408	9197	58266
409	9209	58179
410	9223	58103
411	9238	58031
412	9252	57954
413	9268	57892
414	9280	57809
415	9291	57713
416	9314	57697
417	9333	57653
418	9356	57632
419	9378	57613
420	9390	57527
421	9413	57505
422	9432	57463
423	9457	57461
424	9481	57445
425	9504	57426
426	9523	57385
427	9542	57345
428	9560	57296
429	9581	57268
430	9606	57259
431	9622	57198
432	9641	57156
433	9660	57117
434	9691	57147
435	9712	57118
436	9729	57063
437	9749	57026
438	9766	56974
439	9785	56933
440	9807	56908
441	9821	56841
442	9839	56793
443	9857	56748
444	9875	56702
445	9899	56689
446	9925	56685
447	9948	56672
448	9973	56663
449	10010	56725
450	10028	56678
451	10039	56592
452	10061	56571
453	10074	56498
454	10088	56429
455	10105	56380
456	10121	56323
457	10133	56245
458	10150	56190
459	10166	56135
460	10182	56083
461	10200	56037
462	10215	55978
463	10228	55902
464	10244	55847
465	10259	55786
466	10276	55738
467	10288	55662
468	10300	55586
469	10314	55522
470	10332	55477
471	10358	55480
472	10387	55492
473	10409	55474
474	10432	55454
475	10460	55464
476	10485	55459
477	10508	55442
478	10532	55430
479	10551	55397
480	10565	55332
481	10581	55277
482	10594	55207
483	10610	55158
484	10623	55090
485	10647	55075
486	10670	55059
487	10690	55031
488	10707	54981
489	10732	54974
490	10750	54936
491	10773	54917
492	10799	54918
493	10834	54962
494	10859	54957
495	10884	54950
496	10914	54967
497	10943	54982
498	10963	54949
499	10983	54916
500	11034	55041
501	11076	55117
502	11098	55095
503	11118	55064
504	11131	54996
505	11149	54952
506	11163	54895
507	11178	54836
508	11189	54761
509	11205	54708
510	11222	54663
511	11242	54631
512	11253	54558
513	11265	54485
514	11278	54422
515	11294	54369
516	11305	54298
517	11317	54228
518	11331	54169
519	11343	54102
520	11354	54027
521	11373	53989
522	11396	53977
523	11414	53937
524	11438	53922
525	11460	53901
526	11484	53894
527	11512	53898
528	11536	53889
529	11572	53932
530	11602	53948
531	11629	53950
532	11651	53930
533	11672	53901
534	11690	53865
535	11708	53825
536	11728	53792
537	11745	53751
538	11759	53691
539	11780	53666
540	11793	53604
541	11814	53577
542	11842	53587
543	11854	53519
544	11865	53449
545	11879	53392
546	11888	53315
547	11900	53249
548	11912	53185
549	11929	53138
550	11941	53076
551	11952	53005
552	11965	52945
553	11979	52893
554	11999	52860
555	12013	52809
556	12047	52842
557	12072	52832
558	12093	52810
559	12109	52762
560	12119	52688
561	12140	52667
562	12150	52594
563	12162	52532
564	12177	52481
565	12198	52456
566	12208	52388
567	12231	52369
568	12244	52315
569	12261	52273
570	12277	52229
571	12289	52163
572	12310	52142
573	12326	52098
574	12344	52059
575	12357	52005
576	12377	51975
577	12395	51941
578	12411	51897
579	12429	51860
580	12449	51834
581	12480	51851
582	12501	51829
583	12525	51816
584	12545	51790
585	12565	51761
586	12578	51708
587	12594	51661
588	12612	51625
589	12632	51600
590	12657	51594
591	12675	51559
592	12698	51543
593	12726	51547
594	12748	51530
595	12765	51490
596	12775	51422
597	12787	51364
598	12805	51330
599	12817	51270
600	12837	51243
601	12857	51216
602	12871	51165
603	12895	51156
604	12911	51113
605	12933	51091
606	12950	51054
607	12966	51013
608	12990	51003
609	13008	50969
610	13031	50951
611	13067	50988
612	13093	50986
613	13110	50947
614	13128	50913
615	13151	50896
616	13163	50842
617	13178	50793
618	13191	50739
619	13202	50682
620	13215	50629
621	13228	50574
622	13242	50524
623	13254	50470
624	13268	50418
625	13280	50362
626	13296	50324
627	13309	50270
628	13328	50242
629	13340	50185
630	13353	50134
631	13370	50095
632	13388	50062
633	13401	50012
634	13412	49954
635	13428	49913
636	13450	49895
637	13471	49873
638	13495	49863
639	13511	49822
640	13534	49808
641	13583	49888
