iter	Passed	Remaining
0	20	62260
1	40	60960
2	63	63650
3	89	67364
4	118	71176
5	143	71648
6	164	70236
7	187	70028
8	202	67298
9	215	64547
10	232	63197
11	250	62453
12	263	60523
13	274	58549
14	287	57289
15	300	56058
16	311	54680
17	331	54984
18	351	55084
19	364	54326
20	384	54493
21	402	54548
22	424	54881
23	453	56254
24	473	56317
25	494	56604
26	512	56424
27	538	57124
28	562	57580
29	586	58069
30	606	58114
31	632	58699
32	652	58700
33	673	58723
34	692	58671
35	710	58498
36	730	58465
37	747	58266
38	762	57861
39	779	57661
40	796	57477
41	813	57303
42	832	57234
43	843	56645
44	856	56213
45	869	55840
46	880	55306
47	897	55187
48	914	55063
49	927	54714
50	939	54303
51	950	53913
52	972	54070
53	990	54027
54	1006	53917
55	1029	54112
56	1045	53956
57	1062	53886
58	1085	54111
59	1109	54382
60	1130	54483
61	1155	54769
62	1178	54946
63	1196	54887
64	1212	54767
65	1229	54648
66	1242	54372
67	1254	54078
68	1277	54247
69	1292	54108
70	1306	53911
71	1329	54046
72	1342	53836
73	1359	53736
74	1372	53521
75	1384	53270
76	1404	53300
77	1417	53109
78	1428	52802
79	1443	52689
80	1458	52546
81	1480	52694
82	1502	52812
83	1528	53076
84	1550	53168
85	1570	53218
86	1587	53148
87	1605	53132
88	1617	52913
89	1627	52611
90	1641	52462
91	1654	52283
92	1666	52104
93	1679	51906
94	1690	51697
95	1703	51532
96	1718	51427
97	1728	51172
98	1741	51025
99	1754	50872
100	1767	50727
101	1778	50536
102	1791	50382
103	1803	50230
104	1825	50331
105	1845	50375
106	1858	50244
107	1870	50074
108	1878	49828
109	1890	49680
110	1903	49538
111	1915	49396
112	1926	49216
113	1937	49057
114	1951	48950
115	1972	49038
116	1986	48954
117	1999	48835
118	2012	48712
119	2024	48586
120	2037	48473
121	2047	48312
122	2058	48148
123	2067	47955
124	2080	47841
125	2092	47729
126	2105	47622
127	2117	47502
128	2127	47358
129	2142	47292
130	2154	47195
131	2163	47012
132	2175	46902
133	2188	46800
134	2200	46689
135	2214	46629
136	2225	46500
137	2238	46417
138	2249	46300
139	2266	46298
140	2282	46278
141	2294	46187
142	2305	46055
143	2315	45933
144	2326	45811
145	2338	45705
146	2348	45588
147	2360	45484
148	2372	45392
149	2389	45409
150	2403	45346
151	2421	45364
152	2432	45264
153	2444	45181
154	2455	45074
155	2465	44955
156	2477	44862
157	2488	44760
158	2505	44760
159	2516	44669
160	2526	44550
161	2537	44447
162	2547	44345
163	2557	44231
164	2568	44137
165	2581	44064
166	2589	43934
167	2601	43851
168	2611	43753
169	2623	43671
170	2634	43591
171	2646	43520
172	2657	43433
173	2669	43358
174	2680	43274
175	2690	43174
176	2703	43114
177	2714	43027
178	2724	42944
179	2735	42852
180	2746	42780
181	2756	42682
182	2767	42595
183	2776	42485
184	2792	42493
185	2806	42461
