id,name,weight,height,armSpan,legSwing,weightCategory.id,weightCategory.name,dateOfBirth,country,city,timezone
1,Tanner Boser,115.67,187.96,190.5,101.7,9,Тяжелый вес,1991-08-02,Canada,Bonnyville,America/Edmonton
2,Giacomo Lemos,112.04,190.5,190.5,101.7,9,Тяжелый вес,1989-06-23,Brazil,,America/Sao_Paulo
3,Shamil Abdurakhimov,106.59,190.5,193.04,105.41,9,Тяжелый вес,1981-09-02,Dagestan,Makhachkala,Europe/Moscow
4,Klidson Abreu,92.99,182.88,187.96,101.7,8,Полутяжелый вес,1992-12-24,Brazil,Manaus,America/Manaus
5,Yoshihiro Akiyama,77.11,177.8,190.5,106.68,6,Полусредний вес,1975-07-29,Japan,Ikuno,Asia/Tokyo
6,Jessica Aguilar,52.16,160.02,160.02,90.17,10,Женский минимальный вес,1982-05-08,Mexico,Veracruz,America/Mexico_City
7,Juan Adams,120.2,195.58,203.2,114.3,9,Тяжелый вес,1992-01-16,USA,,America/New_York
8,Israel Adesanya,83.91,193.04,203.2,113.03,7,Средний вес,1989-07-22,Nigeria,Lagos,Africa/Lagos
9,Abu Azaitar,83.91,175.26,193.04,101.7,7,Средний вес,1986-03-10,Germany,,Europe/Berlin
10,Rostem Akman,77.11,177.8,182.88,101.7,6,Полусредний вес,1991-12-19,Sweden,,Europe/Stockholm
11,Alexandra Albu,52.16,157.48,160.02,91.44,10,Женский минимальный вес,1990-07-14,,,
12,Thiago Alves,77.11,175.26,177.8,95.25,6,Полусредний вес,1983-10-03,Brazil,Fortaleza,America/Fortaleza
13,Warlley Alves,77.11,180.34,182.88,106.68,6,Полусредний вес,1991-01-04,Brazil,Governador Valadares,America/Sao_Paulo
14,Hector Aldana,77.11,180.34,182.88,102.87,6,Полусредний вес,1988-08-17,Mexico,,America/Mexico_City
15,Irene Aldana,61.24,175.26,172.72,97.79,12,Женский легчайший вес,1988-03-26,Mexico,Culiacan,America/Mazatlan
16,Sultan Aliev,77.11,180.34,187.96,101.6,6,Полусредний вес,1984-09-17,Russia,,Europe/Moscow
17,Arnold Allen,65.77,172.72,177.8,99.06,4,Полулегкий вес,1994-01-22,England,Suffolk,
18,Eddie Alvarez,70.31,175.26,175.26,102.87,5,Легкий вес,1984-01-11,USA,Kensington,America/New_York
19,Joel Alvarez,70.31,190.5,195.58,101.7,5,Легкий вес,1994-03-02,Spain,Gijón,Europe/Madrid
20,Iuri Alcantara,61.24,175.26,180.34,101.6,3,Легчайший вес,1980-08-04,,,
21,Abdul Razak Alhassan,77.11,177.8,185.42,99.06,6,Полусредний вес,1985-08-11,USA,Minneapolis,America/Chicago
22,Thomas Almeida,61.24,170.18,177.8,97.79,3,Легчайший вес,1991-07-31,Brazil,Sao Paulo,America/Sao_Paulo
23,Corey Anderson,92.99,190.5,190.5,111.76,8,Полутяжелый вес,1989-09-22,USA,Rockton,America/New_York
24,Makwan Amirkhani,65.77,177.8,182.88,104.14,4,Полулегкий вес,1988-11-08,Iraq,,Asia/Baghdad
25,Eryk Anders,92.99,185.42,190.5,110.49,8,Полутяжелый вес,1987-04-21,USA,San Antonio,America/Chicago
26,Megan Anderson,65.77,182.88,182.88,109.22,13,Женский полулегкий вес,1990-02-11,Australia,Gold Coast,Australia/Brisbane
27,Viviane Araujo,56.7,162.56,172.72,101.7,12,Женский легчайший вес,1986-11-21,Brazil,,America/Sao_Paulo
28,Jessica Andrade,52.16,154.94,157.48,88.9,10,Женский минимальный вес,1991-09-25,Brazil,Umuarama,America/Sao_Paulo
29,Magomed Ankalaev,92.99,190.5,190.5,116.84,8,Полутяжелый вес,1992-06-02,Russia,,Europe/Moscow
30,Gadzhimurad Antigulov,92.99,180.34,177.8,101.6,8,Полутяжелый вес,1987-02-09,Russia,Anapa,Europe/Moscow
31,Austin Arnett,65.77,182.88,182.88,104.14,4,Полулегкий вес,1991-10-22,USA,,America/New_York
32,Ben Askren,77.11,180.34,185.42,101.7,6,Полусредний вес,1984-07-18,USA,Cedar Rapids,America/Chicago
33,Julio Arce,65.77,170.18,177.8,99.06,4,Полулегкий вес,1989-10-27,,New York,America/New_York
34,Cyril Asker,112.04,182.88,187.96,106.68,9,Тяжелый вес,1985-12-24,France,Sorgues,Europe/Paris
35,Omari Akhmedov,83.91,182.88,185.42,102.87,7,Средний вес,1987-10-12,Russia,Kizlyar,Europe/Moscow
36,Jessin Ayari,70.31,182.88,185.42,109.22,6,Полусредний вес,1992-05-31,Germany,,Europe/Berlin
37,Bryan Barberena,77.11,182.88,182.88,93.98,6,Полусредний вес,1989-05-03,USA,Montclair,
38,Renan Barao,61.24,167.64,177.8,99.06,3,Легчайший вес,1987-01-31,Brazil,Natal,America/Fortaleza
39,Edson Barboza,70.31,180.34,190.5,104.14,5,Легкий вес,1986-01-21,Brazil,Nova Friburgo,America/Sao_Paulo
40,Enrique Barzola,65.77,170.18,177.8,91.44,4,Полулегкий вес,1989-04-28,Peru,Lima,America/New_York
41,Mario Bautista,61.24,175.26,175.26,101.7,3,Легчайший вес,1993-07-01,USA,,America/New_York
42,Raoni Barcelos,61.24,170.18,170.18,99.06,4,Полулегкий вес,1987-05-01,Brazil,,America/Sao_Paulo
43,Siyar Bahadurzada,77.11,180.34,185.42,114.3,6,Полусредний вес,1984-04-17,Afghanistan,Kabul,Asia/Kabul
44,Gabriel Benitez,65.77,172.72,180.34,102.87,4,Полулегкий вес,1988-06-15,Mexico,,America/Mexico_City
45,Ryan Benoit,56.7,165.1,172.72,96.52,2,Наилегчайший вес,1989-08-25,USA,,America/New_York
46,Manny Bermudez,65.77,177.8,180.34,101.6,3,Легчайший вес,1994-07-16,USA,,America/New_York
47,Talita Bernardo,61.24,162.56,172.72,101.6,12,Женский легчайший вес,1987-03-04,Brazil,Barra de São João,America/Sao_Paulo
48,Poliana Botelho,52.16,172.72,170.18,99.06,10,Женский минимальный вес,1988-12-15,Brazil,Muriae,America/Sao_Paulo
49,Tim Boetsch,83.91,182.88,187.96,106.68,7,Средний вес,1981-01-28,USA,Lincolnville,America/New_York
50,Kyle Bochniak,65.77,170.18,177.8,97.79,4,Полулегкий вес,1987-02-05,USA,Gloucester,Europe/London
51,Martin Bravo,65.77,172.72,180.34,96.52,4,Полулегкий вес,1993-09-21,Mexico,,America/Mexico_City
52,David Branch,83.91,185.42,198.12,106.68,7,Средний вес,1981-09-26,USA,Charlotte,America/New_York
53,Randy Brown,77.11,190.5,198.12,115.57,6,Полусредний вес,1990-07-08,Jamaica,Spanish Town,America/Jamaica
54,Tom Breese,83.91,190.5,185.42,111.76,7,Средний вес,1991-09-26,England,,
55,Wuliji Buren,61.24,175.26,175.26,96.52,3,Легчайший вес,1989-03-01,China,,Asia/Shanghai
56,Jarred Brooks,56.7,160.02,157.48,91.44,2,Наилегчайший вес,1993-05-02,USA,Warsaw,Europe/Warsaw
57,Shane Burgos,65.77,180.34,190.5,101.6,4,Полулегкий вес,1991-03-19,USA,Bronx,
58,Humberto Bandenay,65.77,180.34,180.34,101.6,4,Полулегкий вес,1994-09-04,Peru,Lima,America/New_York
59,Gilbert Burns,70.31,177.8,180.34,101.6,5,Легкий вес,1986-07-20,Brazil,Niteroi,America/Sao_Paulo
60,Matt Bessette,65.77,177.8,177.8,99.06,4,Полулегкий вес,1984-12-28,USA,Hartford,America/New_York
61,Charles Byrd,83.91,177.8,185.42,99.06,7,Средний вес,1983-10-11,USA,Oceanside,America/Los_Angeles
62,Chris Weidman,92.99,187.96,198.12,106.68,7,Средний вес,1984-06-17,USA,Mineola,America/New_York
63,Matt Wiman,70.31,177.8,172.72,101.7,5,Легкий вес,1983-09-19,USA,Denver Colorado,America/New_York
64,Brianna Van Buren,52.16,152.4,157.48,101.7,10,Женский минимальный вес,1993-08-04,USA,,America/New_York
65,Lando Vannata,70.31,175.26,180.34,99.06,5,Легкий вес,1992-03-14,USA,Neptune,America/New_York
66,Paige VanZant,52.16,162.56,165.1,93.98,11,Женский наилегчайший вес,1994-03-26,USA,,America/New_York
67,Luigi Vendramini,77.11,172.72,185.0,101.7,6,Полусредний вес,1996-01-16,Brazil,,America/Sao_Paulo
68,Marlon Vera,61.24,172.72,177.8,102.87,3,Легчайший вес,1992-12-02,Ecuador,Chone,America/Guayaquil
69,Sheldon Westcott,77.11,185.42,180.34,106.68,6,Полусредний вес,1984-08-20,Canada,St. Albert,America/Montreal
70,Marvin Vettori,83.91,182.88,187.96,104.14,7,Средний вес,1993-09-20,Italy,Mezzocorona,Europe/Rome
71,Polyana Viana,52.16,165.1,170.18,97.79,10,Женский минимальный вес,1992-06-14,Brazil,Sao Geraldo do Araguaia,America/Sao_Paulo
72,Ketlen Vieira,61.24,172.72,172.72,100.33,12,Женский легчайший вес,1991-08-26,Brazil,Manaus,America/Manaus
73,Gian Villante,92.99,190.5,193.04,109.22,8,Полутяжелый вес,1985-08-18,USA,Wantagh,America/New_York
74,Adam Wieczorek,113.4,195.58,205.74,116.84,9,Тяжелый вес,1992-02-05,Poland,Chorzów,Europe/Warsaw
75,James Vick,70.31,190.5,193.04,109.22,5,Легкий вес,1987-02-23,USA,,America/New_York
76,Tim Williams,83.91,187.96,193.04,106.68,7,Средний вес,1986-07-03,USA,,America/New_York
77,Mickey Gall,77.11,187.96,187.96,104.14,6,Полусредний вес,1992-01-22,USA,,America/New_York
79,Nathaniel Wood,61.24,167.64,175.26,99.06,3,Легчайший вес,1993-05-08,England,,
80,Tyron Woodley,77.11,175.26,187.96,107.95,6,Полусредний вес,1982-04-07,USA,Ferguson,America/New_York
81,Terrion Ware,61.24,172.72,180.34,99.06,3,Легчайший вес,1986-03-31,USA,Los Angeles,America/Los_Angeles
82,John Gunther,70.31,175.26,182.88,100.33,5,Легкий вес,1985-11-24,USA,,America/New_York
83,Mitch Gagnon,61.24,165.1,165.1,91.44,3,Легчайший вес,1984-10-10,Canada,Sturgeon Falls,America/Montreal
84,Alex Garcia,77.11,175.26,182.88,100.33,6,Полусредний вес,1987-07-14,Dominican Republic,Santiago,America/Santiago
85,Elias Garcia,56.7,165.1,170.18,93.98,2,Наилегчайший вес,1992-09-13,USA,Anaheim,America/Los_Angeles
86,Danny Henry,65.77,182.88,185.42,101.6,4,Полулегкий вес,1988-07-17,Scotland,Edinburgh,Europe/London
87,Christos Giagos,70.31,177.8,180.34,101.7,5,Легкий вес,1990-01-23,USA,Azusos,America/New_York
88,Gregor Gillespie,70.31,170.18,180.34,93.98,5,Легкий вес,1986-11-13,USA,,America/New_York
89,Rick Glenn,65.77,182.88,177.8,102.87,4,Полулегкий вес,1989-04-12,USA,Marshalltown,America/Chicago
90,Marcelo Golm,112.94,190.5,190.5,107.95,9,Тяжелый вес,1992-09-15,Brazil,Santos,America/Sao_Paulo
91,Jason Gonzalez,70.31,187.96,187.96,109.22,5,Легкий вес,1990-02-28,USA,Torrance,America/Los_Angeles
92,Jared Gordon,70.31,175.26,172.72,96.52,5,Легкий вес,1988-09-06,USA,,America/New_York
93,Mike Grundy,65.77,170.18,182.88,101.7,4,Полулегкий вес,1987-01-03,England,,
94,Davey Grant,61.24,172.72,175.26,101.6,3,Легчайший вес,1985-12-18,England,Bishop Auckland,
95,Bobby Green,70.31,177.8,180.34,101.6,5,Легкий вес,1986-09-09,USA,,America/New_York
96,Desmond Green,70.31,177.8,185.42,101.6,5,Легкий вес,1989-10-11,USA,,America/New_York
97,Chris Gruetzemacher,70.31,172.72,172.72,99.06,5,Легкий вес,1986-06-16,USA,,America/New_York
98,Max Griffin,77.11,180.34,193.04,104.14,6,Полусредний вес,1985-11-29,USA,Sacramento,America/Los_Angeles
99,Wang Guan,65.77,175.26,180.34,106.68,4,Полулегкий вес,1986-03-14,,,
100,Lyman Good,77.11,182.88,187.96,104.14,6,Полусредний вес,1985-05-26,USA,New York City,America/New_York
101,Clay Guida,70.31,170.18,177.8,96.52,5,Легкий вес,1981-12-08,USA,Round Lake,America/Winnipeg
102,Alexander Gustafsson,92.99,195.58,195.58,116.84,8,Полутяжелый вес,1987-01-15,Sweden,Arboga,Europe/Stockholm
103,Ciryl Gane,111.13,193.04,205.74,101.7,9,Тяжелый вес,1990-04-12,France,,Europe/Paris
