iter	Accuracy	Logloss
0	0.5779803647	0.6930978953
1	0.5913043478	0.6930889543
2	0.5890603086	0.6930539613
3	0.5980364656	0.6929697365
4	0.6091164095	0.692941531
5	0.5957924264	0.6929113463
6	0.6026647966	0.692873677
7	0.6079943899	0.6928683835
8	0.6084151473	0.6928032853
9	0.6088359046	0.6927717851
10	0.6019635344	0.6927073658
11	0.6036465638	0.6926426109
12	0.6088359046	0.6926261981
13	0.6151472651	0.6925593196
14	0.6116409537	0.6925243793
15	0.6082748948	0.6924964552
16	0.6072931276	0.6924436973
17	0.610799439	0.6924147865
18	0.6098176718	0.6924086487
19	0.6103786816	0.6923470476
20	0.6065918654	0.6923154771
21	0.6100981767	0.6922883923
22	0.6110799439	0.6922639116
23	0.6113604488	0.6922555522
24	0.6110799439	0.6921931204
25	0.6078541374	0.6921721129
26	0.6127629734	0.6921484753
27	0.6165497896	0.692116847
28	0.6168302945	0.6920728872
29	0.6178120617	0.6920443861
30	0.6172510519	0.6920351298
31	0.6224403927	0.6919693164
32	0.6230014025	0.6919016568
33	0.6155680224	0.6918777617
34	0.6176718093	0.6918697657
35	0.6159887798	0.6918611356
36	0.618513324	0.6918295401
37	0.6193548387	0.69180765
38	0.620056101	0.6917495429
39	0.6193548387	0.691726887
40	0.6193548387	0.6916981181
41	0.6207573633	0.69166905
42	0.6192145863	0.6916429502
43	0.6203366059	0.6916150963
44	0.6259467041	0.6915899241
45	0.6225806452	0.6915678726
46	0.6224403927	0.691538065
47	0.6248246844	0.6915296614
48	0.6251051893	0.6915018735
49	0.6258064516	0.6914901381
50	0.6263674614	0.6914809709
51	0.6284712482	0.691445131
52	0.6286115007	0.6914151998
53	0.6281907433	0.6913975696
54	0.6255259467	0.6913652802
55	0.6276297335	0.6913366708
56	0.6302945302	0.691317597
57	0.6297335203	0.6913131582
58	0.6295932679	0.6912267595
59	0.6276297335	0.6912106792
60	0.6265077139	0.6911798985
61	0.6224403927	0.6911500626
62	0.6234221599	0.6911304427
63	0.6245441795	0.69104673
64	0.626227209	0.6910346238
65	0.6279102384	0.6909793994
66	0.6294530154	0.6909462261
67	0.6301542777	0.6909161212
68	0.632398317	0.690892004
69	0.6332398317	0.6908306037
70	0.632398317	0.6907532231
71	0.6347826087	0.6907399542
72	0.6373071529	0.6906824814
73	0.6356241234	0.6906523549
74	0.6353436185	0.6906231742
75	0.6375876578	0.690616121
76	0.6371669004	0.6905726958
77	0.6388499299	0.6905513266
78	0.6378681627	0.690524921
79	0.6367461431	0.6904977731
80	0.6395511921	0.6904825728
81	0.6380084151	0.6904269955
82	0.6382889201	0.6904194564
83	0.6373071529	0.6903852924
84	0.635483871	0.6903533385
85	0.6377279102	0.6903032637
86	0.6381486676	0.6902968225
87	0.6391304348	0.6902485943
88	0.6387096774	0.6901660459
89	0.638569425	0.6901524115
90	0.6394109397	0.6901234241
91	0.6413744741	0.6901054307
92	0.6409537167	0.690094402
93	0.6440392707	0.6900876186
94	0.643197756	0.6900030332
95	0.638569425	0.6899377501
96	0.6409537167	0.6899160431
97	0.6408134642	0.6899104798
98	0.6402524544	0.6898778705
99	0.6403927069	0.6898027134
100	0.6427769986	0.6897420566
101	0.6440392707	0.6896783056
102	0.6430575035	0.6896433724
103	0.6438990182	0.689611264
104	0.6434782609	0.689576421
105	0.6436185133	0.689493118
106	0.6437587658	0.6894308757
107	0.6441795231	0.6894148291
108	0.6426367461	0.6893841334
109	0.6429172511	0.6893744062
110	0.6415147265	0.6893701235
111	0.6440392707	0.6893124962
112	0.646002805	0.6892958763
113	0.6448807854	0.6892797953
114	0.6457223001	0.6892685369
115	0.6467040673	0.6892177367
116	0.6465638149	0.689194415
117	0.646002805	0.6891631503
118	0.647826087	0.6891276084
119	0.6474053296	0.689119029
120	0.6471248247	0.689115184
121	0.6457223001	0.6890830757
122	0.6482468443	0.6890264708
123	0.646002805	0.6890011348
124	0.6454417952	0.6889786126
125	0.6468443198	0.6889201603
126	0.6457223001	0.688908584
127	0.6444600281	0.6888836358
128	0.6454417952	0.6888290109
129	0.643197756	0.6887666086
130	0.6454417952	0.688740251
131	0.6467040673	0.6887311779
132	0.644740533	0.6886818061
133	0.6451612903	0.6886471198
134	0.643197756	0.6886221929
135	0.6465638149	0.6885919111
136	0.6483870968	0.6885638282
137	0.6455820477	0.6885288474
138	0.64628331	0.6885196731
139	0.6461430575	0.688437856
140	0.6464235624	0.6883821637
141	0.6481065919	0.6883748082
142	0.6503506311	0.6883185317
143	0.6507713885	0.6883126824
144	0.6486676017	0.6882917453
145	0.6489481066	0.6882878413
146	0.6457223001	0.6882586236
147	0.6461430575	0.6882497995
148	0.647545582	0.6882300954
149	0.6474053296	0.6881550593
150	0.647545582	0.6881487204
151	0.647545582	0.6881345536
152	0.647545582	0.6881298651
153	0.6482468443	0.6881199292
154	0.6502103787	0.688092031
155	0.6507713885	0.6880697737
156	0.6527349229	0.6880053524
157	0.6569424965	0.6879934265
158	0.6573632539	0.6879841284
159	0.6566619916	0.6879826497
160	0.6576437588	0.687962946
161	0.6572230014	0.6879042235
162	0.6569424965	0.6878992624
163	0.6580645161	0.6878834486
164	0.6579242637	0.6878592246
165	0.6570827489	0.6878332186
166	0.6558204769	0.6877997933
167	0.6551192146	0.6877713971
168	0.653997195	0.6877114941
169	0.6546984572	0.68763053
170	0.6541374474	0.6876105258
171	0.6544179523	0.687598493
172	0.6542776999	0.6875937783
173	0.6535764376	0.6875829096
174	0.6556802244	0.6875553222
175	0.6555399719	0.687547066
176	0.6562412342	0.6875048391
177	0.6563814867	0.687485043
178	0.6576437588	0.6874639734
179	0.6576437588	0.6874046543
180	0.6575035063	0.6873687306
181	0.6577840112	0.6873621406
182	0.6589060309	0.687337447
183	0.6566619916	0.6873132778
184	0.6563814867	0.6873100568
185	0.658345021	0.6872753472
186	0.6555399719	0.6872479049
187	0.656802244	0.6871982695
188	0.6572230014	0.6871765033
189	0.6563814867	0.6871481511
190	0.6545582048	0.6871210601
191	0.6569424965	0.687093362
192	0.6570827489	0.6870689174
193	0.6570827489	0.6870509408
194	0.6577840112	0.6870258052
195	0.6553997195	0.6870019926
196	0.6563814867	0.6869224388
197	0.6570827489	0.6868622966
198	0.6575035063	0.6867924889
199	0.6570827489	0.6867879528
200	0.6570827489	0.6867342865
201	0.6573632539	0.6867151863
202	0.6575035063	0.686710153
203	0.6569424965	0.6866812815
204	0.6570827489	0.686643325
205	0.6563814867	0.6866192655
206	0.6572230014	0.6866125875
207	0.6576437588	0.6865531176
208	0.6569424965	0.6865389153
209	0.656802244	0.686488194
210	0.6563814867	0.6864667805
211	0.6551192146	0.6864407292
212	0.6561009818	0.68640939
213	0.6563814867	0.686383746
214	0.6562412342	0.6863319869
215	0.6562412342	0.6863067332
216	0.656802244	0.6862991289
217	0.6563814867	0.6862463691
218	0.6587657784	0.6862161732
219	0.6573632539	0.6861852809
220	0.6576437588	0.686165335
221	0.6577840112	0.6861401008
222	0.656802244	0.6861166255
223	0.6577840112	0.6861019892
224	0.656802244	0.6860895315
225	0.658345021	0.6860835581
226	0.6573632539	0.6860499366
227	0.6570827489	0.6860237655
228	0.6586255259	0.6859991921
229	0.6570827489	0.6859716443
230	0.6584852735	0.6859636636
231	0.6577840112	0.6859165701
232	0.6566619916	0.6859101898
233	0.6572230014	0.6859065316
234	0.6569424965	0.6858488511
235	0.6575035063	0.6858204423
236	0.656802244	0.6858016964
237	0.656802244	0.6857947142
238	0.6565217391	0.6857762705
239	0.6563814867	0.6857719892
240	0.6582047686	0.6857464923
241	0.658345021	0.6856678831
242	0.6576437588	0.6856468106
243	0.6579242637	0.6856142718
244	0.6587657784	0.6855991644
245	0.6587657784	0.6855671682
246	0.6590462833	0.6855417803
247	0.6584852735	0.6855033198
248	0.658345021	0.6854806412
249	0.6573632539	0.6854302178
250	0.6584852735	0.6854246929
251	0.6580645161	0.6854153344
252	0.6582047686	0.6854079114
253	0.6579242637	0.6853820108
254	0.6570827489	0.685374371
255	0.655259467	0.6853457021
256	0.6551192146	0.6853360383
257	0.6546984572	0.6853036982
258	0.6561009818	0.6852738432
259	0.6556802244	0.685254688
260	0.6573632539	0.685208103
261	0.6572230014	0.6852020407
262	0.6570827489	0.6851886295
263	0.6572230014	0.6851856521
264	0.6562412342	0.6851664425
265	0.6576437588	0.6851338941
266	0.6559607293	0.6850882768
267	0.6575035063	0.6850772955
268	0.6575035063	0.6850498092
269	0.6579242637	0.6850289022
270	0.6551192146	0.6849837018
271	0.6566619916	0.6849544512
272	0.655259467	0.6849300756
273	0.6565217391	0.6849049858
274	0.6556802244	0.6848652234
275	0.6548387097	0.6848127415
276	0.6549789621	0.6847834364
277	0.6531556802	0.6847567872
278	0.653997195	0.6847367843
