iter	Passed	Remaining
0	8	24167
1	17	25514
2	24	24440
3	32	24312
4	39	23882
5	47	23789
6	55	23927
7	63	23804
8	71	23899
9	79	23668
10	86	23572
11	94	23649
12	103	23745
13	116	24941
14	125	24941
15	139	26096
16	152	26727
17	160	26630
18	166	26138
19	172	25771
20	178	25362
21	184	25041
22	192	24882
23	197	24544
24	203	24265
25	210	24065
26	215	23763
27	221	23501
28	227	23293
29	234	23188
30	240	23028
31	245	22802
32	251	22598
33	257	22422
34	262	22234
35	268	22126
36	274	21957
37	279	21794
38	286	21730
39	291	21598
40	297	21457
41	302	21332
42	309	21280
43	314	21160
44	320	21052
45	327	21015
46	332	20901
47	338	20808
48	344	20743
49	350	20658
50	355	20561
51	361	20467
52	366	20388
53	372	20309
54	377	20226
55	383	20162
56	388	20079
57	394	20015
58	400	19943
59	406	19901
60	411	19827
61	416	19755
62	423	19739
63	428	19668
64	434	19620
65	440	19560
66	446	19536
67	452	19496
68	457	19438
69	463	19391
70	468	19337
71	474	19292
72	480	19265
73	486	19223
74	491	19180
75	497	19126
76	503	19102
77	508	19050
78	513	19000
79	519	18960
80	525	18930
81	530	18885
82	536	18849
83	542	18826
84	547	18782
85	553	18737
86	558	18695
87	564	18668
88	569	18634
89	575	18592
90	580	18569
91	586	18540
92	591	18503
93	598	18491
94	604	18476
95	609	18447
96	615	18418
97	621	18406
98	626	18371
99	632	18337
100	638	18322
101	643	18296
102	649	18268
103	655	18243
104	660	18224
105	666	18197
106	671	18164
107	677	18139
108	683	18121
109	688	18088
110	694	18064
111	699	18041
112	705	18013
113	710	17992
114	716	17985
115	724	18023
116	732	18037
117	737	18017
118	743	17993
119	748	17975
120	754	17958
121	760	17941
122	766	17919
123	771	17900
124	778	17899
125	784	17889
126	790	17872
127	796	17866
128	804	17909
129	811	17917
130	819	17940
131	824	17922
132	830	17900
133	836	17881
134	841	17861
135	847	17842
136	853	17825
137	859	17816
138	864	17790
139	869	17769
140	875	17753
141	880	17730
142	886	17711
143	892	17702
144	898	17685
145	905	17706
146	911	17685
147	917	17671
148	922	17647
149	928	17637
150	934	17624
151	939	17607
152	945	17597
153	959	17736
154	967	17757
155	975	17787
156	983	17813
157	991	17838
158	999	17856
159	1007	17884
160	1015	17914
161	1023	17938
162	1032	17971
163	1040	17989
164	1049	18033
165	1057	18055
166	1064	18062
167	1072	18087
168	1080	18101
169	1088	18117
170	1095	18117
171	1103	18147
172	1115	18235
173	1124	18263
174	1132	18282
175	1140	18292
176	1148	18312
177	1153	18287
178	1158	18265
179	1165	18254
180	1171	18240
181	1176	18218
182	1183	18214
183	1189	18200
184	1194	18181
185	1200	18160
186	1205	18139
187	1211	18121
188	1216	18099
189	1222	18085
190	1228	18067
191	1234	18048
192	1239	18032
193	1245	18010
194	1250	17994
195	1260	18036
196	1267	18032
197	1272	18013
198	1278	17996
199	1284	17977
200	1289	17962
201	1295	17943
202	1301	17927
203	1307	17914
204	1315	17934
205	1321	17923
206	1327	17907
207	1332	17890
208	1338	17880
209	1344	17862
210	1349	17843
211	1355	17827
212	1360	17807
213	1366	17789
214	1372	17772
215	1377	17760
216	1383	17741
217	1388	17724
218	1394	17708
219	1399	17690
220	1405	17674
221	1411	17660
222	1417	17649
223	1422	17631
224	1428	17613
225	1433	17600
226	1439	17586
227	1445	17568
228	1450	17549
229	1456	17539
230	1466	17583
231	1474	17590
232	1481	17596
233	1489	17606
234	1496	17612
235	1504	17617
236	1512	17628
237	1520	17648
238	1528	17662
239	1536	17670
240	1549	17740
241	1578	17985
242	1589	18039
243	1597	18049
244	1603	18033
245	1609	18021
246	1615	18004
247	1620	17985
248	1626	17965
249	1632	17955
250	1638	17940
251	1643	17920
252	1649	17906
253	1656	17905
254	1664	17914
255	1670	17902
256	1675	17886
257	1681	17870
258	1687	17857
259	1692	17839
260	1698	17822
261	1703	17804
262	1709	17788
263	1714	17773
264	1720	17760
265	1727	17750
266	1732	17734
267	1738	17719
268	1743	17702
269	1749	17687
270	1754	17669
271	1759	17649
272	1765	17638
273	1771	17627
274	1777	17609
275	1782	17594
276	1788	17585
277	1794	17571
278	1799	17553
279	1805	17541
280	1811	17524
281	1816	17511
282	1822	17497
283	1828	17482
284	1835	17482
285	1843	17491
286	1850	17497
287	1857	17487
288	1862	17470
289	1868	17457
290	1873	17441
291	1879	17426
292	1884	17408
293	1890	17401
294	1897	17396
295	1903	17384
296	1908	17370
297	1914	17361
298	1920	17348
299	1926	17337
300	1932	17327
301	1938	17313
302	1943	17300
303	1961	17395
304	1969	17406
305	1976	17398
306	1982	17389
307	1987	17374
308	1993	17360
309	1999	17346
310	2005	17339
311	2010	17324
312	2016	17313
313	2023	17307
314	2028	17294
315	2034	17280
316	2040	17268
317	2045	17253
318	2051	17239
319	2057	17229
320	2063	17219
321	2068	17203
322	2074	17189
323	2079	17177
324	2085	17164
325	2090	17151
326	2097	17141
327	2102	17130
328	2108	17114
329	2113	17102
330	2119	17088
331	2124	17073
332	2130	17059
333	2135	17047
334	2142	17040
335	2147	17027
336	2153	17013
337	2159	17003
338	2164	16991
339	2172	16994
340	2180	17006
341	2186	16991
342	2192	16984
343	2198	16978
344	2204	16965
345	2212	16974
346	2223	16997
347	2234	17026
348	2243	17041
349	2253	17064
350	2267	17113
351	2275	17118
352	2284	17133
353	2292	17138
354	2304	17172
355	2313	17181
356	2323	17203
357	2333	17224
358	2345	17255
359	2356	17284
360	2366	17296
361	2379	17341
362	2387	17346
363	2396	17355
364	2405	17366
365	2414	17373
366	2422	17381
367	2432	17396
368	2442	17413
369	2452	17434
370	2464	17466
371	2473	17476
372	2481	17473
373	2487	17468
374	2495	17465
375	2502	17460
376	2508	17455
377	2514	17441
378	2519	17426
379	2526	17418
380	2532	17408
381	2537	17393
382	2544	17387
383	2550	17373
384	2556	17363
385	2562	17352
386	2568	17340
387	2574	17329
388	2580	17320
389	2586	17309
390	2593	17303
391	2598	17290
392	2607	17297
393	2613	17284
394	2620	17278
395	2627	17275
396	2633	17266
397	2640	17260
398	2645	17247
399	2651	17233
400	2658	17227
401	2664	17217
402	2669	17203
403	2675	17192
404	2681	17180
405	2687	17168
406	2692	17155
407	2698	17144
408	2705	17136
409	2711	17130
410	2718	17124
411	2724	17111
412	2729	17098
413	2735	17084
414	2741	17078
415	2749	17077
416	2756	17074
417	2763	17071
418	2770	17064
419	2776	17056
420	2782	17042
421	2788	17033
422	2793	17018
423	2799	17006
424	2805	16999
425	2811	16986
426	2817	16977
427	2823	16967
428	2829	16954
429	2834	16943
430	2841	16936
431	2846	16923
432	2853	16917
433	2859	16905
434	2865	16894
435	2870	16883
436	2877	16874
437	2883	16863
438	2888	16852
439	2894	16840
440	2899	16827
441	2905	16812
442	2910	16799
443	2916	16789
444	2921	16775
445	2927	16763
446	2932	16750
447	2938	16736
448	2943	16724
449	2966	16812
450	2974	16810
451	2982	16810
452	2994	16834
453	3002	16835
454	3011	16842
455	3020	16851
456	3031	16866
457	3039	16871
458	3046	16866
459	3055	16870
460	3064	16877
461	3073	16881
462	3080	16878
463	3087	16872
464	3095	16875
465	3106	16892
466	3114	16891
467	3125	16912
468	3135	16918
469	3146	16939
470	3155	16945
471	3164	16946
472	3177	16977
473	3185	16977
474	3194	16983
475	3202	16983
476	3212	16994
477	3219	16988
478	3231	17005
479	3238	17002
480	3247	17006
481	3258	17020
482	3264	17009
483	3269	16996
484	3275	16986
485	3282	16978
486	3287	16964
487	3293	16952
488	3299	16943
489	3305	16931
490	3311	16921
491	3316	16907
492	3322	16894
493	3327	16881
494	3334	16874
495	3339	16860
496	3345	16846
497	3351	16836
498	3356	16823
499	3362	16813
500	3368	16800
501	3375	16797
502	3384	16803
503	3396	16821
504	3406	16832
505	3416	16837
506	3424	16836
507	3432	16840
508	3441	16840
509	3450	16847
510	3456	16835
511	3461	16822
512	3467	16810
513	3472	16796
514	3477	16781
515	3483	16769
516	3488	16756
517	3494	16742
518	3499	16730
519	3505	16716
520	3511	16706
521	3516	16694
522	3522	16681
523	3527	16668
524	3532	16655
525	3538	16643
526	3543	16630
527	3550	16621
528	3557	16619
529	3563	16606
530	3569	16596
531	3574	16583
532	3580	16572
533	3586	16560
534	3591	16548
535	3597	16535
536	3602	16522
537	3608	16512
538	3613	16499
539	3619	16486
540	3624	16475
541	3630	16464
542	3635	16452
543	3641	16440
544	3647	16429
545	3652	16416
546	3657	16403
547	3663	16392
548	3669	16381
549	3674	16369
550	3680	16357
551	3685	16346
552	3691	16332
553	3697	16323
554	3702	16312
555	3708	16301
556	3713	16289
557	3719	16277
558	3724	16264
559	3730	16252
560	3735	16241
561	3741	16229
562	3747	16220
563	3752	16207
564	3757	16195
565	3763	16185
566	3769	16174
567	3774	16162
568	3780	16150
569	3785	16139
570	3791	16127
571	3797	16117
572	3802	16106
