iter	Accuracy	Logloss
0	0.5715287518	0.6931226238
1	0.5764375877	0.6930904377
2	0.5772791024	0.6930646228
3	0.5803646564	0.6930322452
4	0.5883590463	0.6930119308
5	0.5903225806	0.6929747826
6	0.590743338	0.6929552644
7	0.5900420757	0.6929277631
8	0.5921458626	0.6929135674
9	0.5945301543	0.6928992791
10	0.5928471248	0.6928710165
11	0.5945301543	0.6928552646
12	0.5963534362	0.6928430976
13	0.5981767181	0.6928093101
14	0.5983169705	0.6927798697
15	0.5966339411	0.692742805
16	0.5976157083	0.6927237292
17	0.596914446	0.6926914369
18	0.5973352034	0.6926780675
19	0.596914446	0.6926536713
20	0.5977559607	0.69263757
21	0.5980364656	0.6926052242
22	0.5967741935	0.6925712174
23	0.5987377279	0.6925428876
24	0.5974754558	0.6925183195
25	0.5952314165	0.6924984118
26	0.5978962132	0.6924702314
27	0.598457223	0.6924325424
28	0.5987377279	0.692402357
29	0.5987377279	0.6923945557
30	0.5991584853	0.6923687862
31	0.5985974755	0.6923595014
32	0.5992987377	0.6923263714
33	0.5987377279	0.6922910526
34	0.5973352034	0.6922597786
35	0.5974754558	0.6922239959
36	0.5977559607	0.692194826
37	0.5985974755	0.6921577344
38	0.5974754558	0.6921302079
39	0.5988779804	0.6921130551
40	0.5988779804	0.692081552
41	0.5988779804	0.6920523024
42	0.5974754558	0.6920264829
43	0.5981767181	0.6920097777
44	0.5964936886	0.6919757205
45	0.5978962132	0.6919500204
46	0.5981767181	0.691936714
47	0.5991584853	0.6919259762
48	0.6005610098	0.6918934983
49	0.6001402525	0.6918649757
50	0.5997194951	0.6918411496
51	0.5998597475	0.6918097674
52	0.6005610098	0.6917855293
53	0.6	0.6917621727
54	0.6001402525	0.691734981
55	0.6005610098	0.691701675
56	0.5995792426	0.6916708694
57	0.5997194951	0.6916386623
58	0.5998597475	0.6916123182
59	0.6004207574	0.6915899142
60	0.5995792426	0.6915649272
61	0.6005610098	0.6915347601
62	0.6008415147	0.6915045045
63	0.6	0.6914807303
64	0.5995792426	0.6914511808
65	0.5985974755	0.6914284828
66	0.5985974755	0.691399827
67	0.5985974755	0.6913642642
68	0.5977559607	0.6913268185
69	0.5985974755	0.6912974221
70	0.5990182328	0.6912721837
71	0.5995792426	0.6912442742
72	0.5991584853	0.6912177935
73	0.5981767181	0.6911933892
74	0.5987377279	0.6911780785
75	0.5988779804	0.6911577744
76	0.6001402525	0.6911425935
77	0.6011220196	0.6911284482
78	0.6002805049	0.6911004194
79	0.6007012623	0.6910814136
80	0.6007012623	0.6910526338
81	0.6009817672	0.6910229922
82	0.6005610098	0.690995796
83	0.5998597475	0.6909760635
84	0.5998597475	0.69095395
85	0.6008415147	0.6909266878
86	0.6014025245	0.6909102421
87	0.6012622721	0.6908846594
88	0.6016830295	0.6908532792
89	0.6016830295	0.6908442465
90	0.6011220196	0.6908171353
91	0.6016830295	0.6907885437
92	0.6018232819	0.6907576744
93	0.6018232819	0.6907348936
94	0.6011220196	0.6907088537
95	0.6008415147	0.6906956014
96	0.6	0.6906675902
97	0.6	0.6906396069
98	0.6	0.6906049843
99	0.5998597475	0.690581047
100	0.5998597475	0.6905473243
101	0.6007012623	0.690517024
102	0.5998597475	0.6904999148
103	0.5995792426	0.6904935493
104	0.6002805049	0.690478897
105	0.6008415147	0.6904557036
106	0.6005610098	0.6904382671
107	0.6009817672	0.6904055536
108	0.6009817672	0.6904055536
109	0.6011220196	0.6903795204
110	0.6019635344	0.6903704872
111	0.6022440393	0.6903408794
112	0.6026647966	0.6903227827
113	0.6021037868	0.6903010695
114	0.6025245442	0.6902645642
115	0.6025245442	0.6902573021
116	0.6023842917	0.6902297407
117	0.601542777	0.6902073607
118	0.6016830295	0.6901820748
119	0.6008415147	0.6901597818
120	0.6021037868	0.690126984
121	0.6019635344	0.6900980357
122	0.6019635344	0.6900846725
123	0.6021037868	0.6900553402
124	0.6022440393	0.6900323
125	0.6022440393	0.6900135134
126	0.6018232819	0.6900017989
127	0.6026647966	0.689978798
128	0.603085554	0.6899659836
129	0.6028050491	0.6899473358
130	0.603085554	0.6899141043
131	0.6037868163	0.6899025223
132	0.6036465638	0.6898699278
133	0.603085554	0.6898540459
134	0.6039270687	0.6898292544
135	0.6044880785	0.6898123006
136	0.6047685835	0.6897941695
137	0.6047685835	0.6897614503
138	0.604628331	0.6897442629
139	0.6051893408	0.689717565
140	0.6043478261	0.6897053064
141	0.6043478261	0.6896781604
142	0.6043478261	0.689649541
143	0.6037868163	0.6896320947
144	0.6042075736	0.6896087209
145	0.6035063114	0.6895846655
146	0.6036465638	0.6895567446
147	0.6036465638	0.6895384314
148	0.6033660589	0.6895161514
149	0.6037868163	0.6895083777
150	0.603085554	0.6894817645
151	0.6032258065	0.6894502312
152	0.6026647966	0.6894318499
153	0.6032258065	0.6894026705
154	0.6037868163	0.6893893071
155	0.6040673212	0.6893667929
156	0.6044880785	0.6893535395
157	0.6042075736	0.6893285144
158	0.604628331	0.6893098919
159	0.6042075736	0.6892753634
160	0.6039270687	0.6892553441
161	0.6040673212	0.6892258092
162	0.6039270687	0.6892115551
163	0.6042075736	0.6891878414
164	0.6036465638	0.6891574703
165	0.6035063114	0.6891465343
166	0.6047685835	0.6891297382
167	0.6050490884	0.6891188684
168	0.6037868163	0.6890925521
169	0.6040673212	0.6890832129
170	0.6039270687	0.6890561807
171	0.6042075736	0.6890408783
172	0.6037868163	0.6890073502
173	0.6037868163	0.6889783375
174	0.6042075736	0.6889547703
175	0.6044880785	0.6889339867
176	0.6035063114	0.6889103506
177	0.6037868163	0.6888960563
178	0.6035063114	0.6888703654
179	0.604628331	0.688855524
180	0.6043478261	0.6888341922
181	0.6050490884	0.6888092533
182	0.6043478261	0.6887814166
183	0.6042075736	0.6887530256
184	0.6042075736	0.6887210297
185	0.604628331	0.6886945605
186	0.6050490884	0.6886798218
187	0.6047685835	0.6886564052
188	0.6051893408	0.6886340539
189	0.604628331	0.6886067729
190	0.6051893408	0.6885788657
191	0.6047685835	0.6885655574
192	0.6051893408	0.6885390408
193	0.6051893408	0.6885150537
194	0.6049088359	0.6885068185
195	0.6058906031	0.6884950142
196	0.6053295933	0.6884662546
197	0.6049088359	0.6884399736
198	0.6043478261	0.6884159093
199	0.6050490884	0.6883933291
200	0.6050490884	0.6883666355
201	0.6049088359	0.6883410436
202	0.6051893408	0.6883224312
203	0.6049088359	0.6883008221
204	0.6044880785	0.6882748905
205	0.604628331	0.6882476773
206	0.6049088359	0.688233114
207	0.6057503506	0.6882088882
208	0.6058906031	0.6881829474
209	0.6060308555	0.6881565416
210	0.6054698457	0.6881355566
211	0.6056100982	0.6881243068
212	0.6060308555	0.6881055274
213	0.6053295933	0.6880891414
214	0.6058906031	0.688079906
215	0.6060308555	0.6880711233
216	0.606171108	0.6880469416
217	0.6057503506	0.6880224316
218	0.6056100982	0.6879919051
219	0.6058906031	0.6879829464
220	0.6060308555	0.6879643241
221	0.6064516129	0.6879415744
222	0.6065918654	0.6879231303
223	0.6065918654	0.6879017752
224	0.6068723703	0.6878910287
225	0.6067321178	0.6878663159
226	0.6068723703	0.6878399596
227	0.6070126227	0.6878250531
228	0.6068723703	0.6878004829
229	0.6065918654	0.6877838675
230	0.6064516129	0.6877574213
231	0.6064516129	0.6877377634
232	0.606171108	0.6877084307
233	0.6063113604	0.6876786836
234	0.6065918654	0.6876669027
235	0.6064516129	0.6876604703
236	0.6063113604	0.6876340394
237	0.6065918654	0.6876083515
238	0.6064516129	0.6875991348
239	0.6063113604	0.6875885021
240	0.6060308555	0.6875760136
241	0.6065918654	0.6875543974
242	0.606171108	0.6875319984
243	0.6065918654	0.6875069286
244	0.6067321178	0.6874829585
245	0.606171108	0.6874684264
246	0.6060308555	0.6874461329
247	0.6060308555	0.6874389399
248	0.6067321178	0.687430554
249	0.6063113604	0.6874069217
250	0.6063113604	0.6873890599
251	0.6063113604	0.6873633967
252	0.6064516129	0.6873399077
253	0.6065918654	0.6873096445
254	0.6067321178	0.6872978809
255	0.6063113604	0.6872732642
256	0.6063113604	0.6872519404
257	0.6063113604	0.687228507
258	0.6057503506	0.6872089345
