iter	Passed	Remaining
0	56	341430
1	59	179937
2	63	126023
3	65	98095
4	67	81199
5	72	71960
6	75	64938
7	79	59442
8	83	55514
9	87	52162
10	91	49614
11	94	47341
12	98	45565
13	102	43944
14	106	42443
15	110	41440
16	125	44240
17	131	43540
18	135	42737
19	140	41989
20	147	41890
21	151	41134
22	153	39978
23	156	38889
24	158	37888
25	160	36983
26	163	36243
27	166	35441
28	168	34683
29	170	33975
30	173	33321
31	175	32704
32	177	32145
33	182	31961
34	185	31597
35	187	31106
36	190	30632
37	192	30195
38	194	29767
39	197	29368
40	201	29216
41	203	28883
42	207	28737
43	209	28397
44	212	28078
45	214	27758
46	216	27474
47	219	27178
48	221	26892
49	223	26648
50	228	26662
51	231	26430
52	233	26180
53	235	25935
54	237	25715
55	240	25493
56	242	25269
57	244	25053
58	246	24845
59	249	24732
60	252	24541
61	254	24358
62	256	24181
63	259	24023
64	261	23851
65	263	23684
66	265	23525
67	268	23405
68	270	23251
69	272	23100
70	274	22954
71	277	22830
72	279	22708
73	281	22571
74	284	22448
75	286	22334
76	288	22215
77	291	22094
78	293	21974
79	295	21860
80	297	21757
81	301	21725
82	303	21614
83	305	21532
84	307	21429
85	310	21329
86	312	21228
87	314	21136
88	316	21045
89	319	20959
90	321	20868
91	323	20778
92	326	20719
93	328	20635
94	330	20556
95	332	20478
96	335	20408
97	337	20334
98	339	20256
99	342	20179
100	344	20109
101	346	20040
102	348	19970
103	350	19880
104	352	19816
105	355	19747
106	357	19682
107	359	19619
108	361	19521
109	363	19477
110	365	19415
111	368	19381
112	371	19367
113	373	19307
114	376	19270
115	379	19225
116	381	19168
117	383	19119
118	386	19077
119	388	19028
120	390	18975
121	392	18923
122	394	18872
123	397	18827
124	399	18778
125	401	18730
126	404	18685
127	406	18642
128	408	18596
129	410	18549
130	412	18501
131	415	18468
132	417	18422
133	419	18379
134	422	18335
135	424	18293
136	426	18261
137	428	18217
138	431	18175
139	433	18134
140	435	18100
141	437	18061
142	439	18020
143	442	17985
144	444	17953
145	446	17917
146	449	17879
147	451	17843
148	453	17806
149	455	17780
150	458	17745
151	460	17708
152	462	17674
153	464	17643
154	466	17609
155	469	17576
156	471	17546
157	473	17518
158	476	17488
159	478	17456
160	480	17419
161	482	17404
162	485	17383
163	487	17352
164	489	17327
165	492	17298
166	494	17272
167	496	17242
168	498	17212
169	501	17183
170	503	17161
171	505	17132
172	507	17103
173	510	17078
174	512	17055
175	514	17032
176	517	17008
177	519	16980
178	521	16958
179	524	16947
180	526	16923
181	528	16896
182	530	16876
183	533	16858
184	535	16832
185	537	16807
186	539	16779
187	542	16764
188	544	16740
189	546	16714
190	548	16691
191	551	16668
192	553	16646
193	555	16623
194	557	16602
195	560	16590
