iter	Accuracy	Logloss
0	0.5794137696	0.6926277852
1	0.5896387185	0.6920511341
2	0.5892978868	0.6915743359
3	0.5870824813	0.691059344
4	0.5852079073	0.6905448513
5	0.5916837082	0.6903646998
6	0.5918541241	0.6897778969
7	0.593728698	0.6893018477
8	0.5949216087	0.6887588969
9	0.5940695297	0.688249064
10	0.5938991138	0.6877930686
11	0.5915132924	0.6873332039
12	0.5908316292	0.6868993841
13	0.5920245399	0.686246179
14	0.5950920245	0.6857886857
15	0.5962849352	0.6853652257
16	0.5962849352	0.6850843059
17	0.5991820041	0.6848568074
18	0.5979890934	0.6843781787
19	0.6037832311	0.6839329174
20	0.6049761418	0.6834153043
21	0.6041240627	0.6830046588
22	0.6046353102	0.6825710887
23	0.6012269939	0.6821655606
24	0.6037832311	0.6817222548
25	0.6039536469	0.6812616828
26	0.6020790729	0.6809984869
27	0.6027607362	0.680620044
28	0.6010565781	0.6802239603
29	0.6032719836	0.6800952748
30	0.6036128153	0.6796046636
31	0.6044648943	0.6793271138
32	0.6027607362	0.6789896106
33	0.6024199046	0.6786532724
34	0.602931152	0.6782145016
35	0.6049761418	0.6780433369
36	0.6058282209	0.6779012127
37	0.6077027948	0.6776848229
38	0.6082140423	0.6773410789
39	0.607532379	0.6770546256
40	0.605657805	0.6767884341
41	0.6068507157	0.6765593546
42	0.6042944785	0.6763101381
43	0.6034423995	0.6760389124
44	0.6031015678	0.6756468645
45	0.6036128153	0.6753914904
46	0.6044648943	0.6749725654
47	0.6039536469	0.6746442154
48	0.6039536469	0.6743724488
49	0.6034423995	0.6741258534
50	0.6020790729	0.6738925302
51	0.6022494888	0.6735965492
52	0.6007157464	0.6734066205
53	0.6005453306	0.6731667652
54	0.6007157464	0.6727294922
55	0.6024199046	0.6723994364
56	0.6036128153	0.6720787834
57	0.6027607362	0.6718749168
58	0.6024199046	0.6716623963
59	0.6027607362	0.6716194595
60	0.6063394683	0.6714284074
61	0.6077027948	0.671237064
62	0.6083844581	0.6710472185
63	0.609406953	0.6708825026
64	0.609406953	0.6706076988
65	0.6097477846	0.6705873954
66	0.6097477846	0.670355986
67	0.6111111111	0.670214694
68	0.6114519427	0.6701854038
69	0.6126448534	0.6700265542
70	0.6124744376	0.6697922741
71	0.6117927744	0.6695579524
72	0.6117927744	0.6692904295
73	0.6112815269	0.6691020817
74	0.6109406953	0.6690727915
75	0.6112815269	0.6689143581
76	0.610259032	0.6688990889
77	0.610259032	0.6686839056
78	0.6099182004	0.6684398898
79	0.6097477846	0.6682578245
80	0.6105998637	0.6682103943
81	0.610259032	0.6679987891
82	0.6100886162	0.6678060312
83	0.6112815269	0.6677583098
84	0.6111111111	0.667690909
85	0.6116223586	0.6676072405
86	0.6126448534	0.6674970277
87	0.6119631902	0.6673573999
88	0.6123040218	0.6670721947
89	0.6117927744	0.6670110764
90	0.612133606	0.6668906287
91	0.612133606	0.6666817278
92	0.6129856851	0.6666337152
93	0.6126448534	0.6664444937
94	0.6129856851	0.6664172422
95	0.6131561009	0.6663068214
96	0.6150306748	0.6660540268
97	0.6138377641	0.6658673849
98	0.6143490116	0.6656269471
99	0.6136673483	0.665610721
100	0.6129856851	0.6654069377
101	0.6128152693	0.6652868644
102	0.6129856851	0.6651969135
103	0.6123040218	0.664978485
104	0.6123040218	0.66495244
105	0.6145194274	0.6646957345
106	0.6136673483	0.664537842
107	0.6131561009	0.6644065352
108	0.6123040218	0.6642496412
109	0.6119631902	0.6642305859
110	0.6146898432	0.6638517269
111	0.6138377641	0.6637007824
112	0.6141785958	0.6636604668
113	0.6143490116	0.6636270576
114	0.6141785958	0.6635150558
115	0.6145194274	0.6634094613
116	0.6143490116	0.6633072784
117	0.6136673483	0.6632023079
118	0.614860259	0.6629960282
119	0.6145194274	0.6628123818
120	0.6146898432	0.6626649738
121	0.6141785958	0.6625198541
122	0.6145194274	0.6624969295
123	0.6133265167	0.6623593404
124	0.6138377641	0.6622103098
125	0.6153715065	0.6620807505
126	0.6163940014	0.6618807116
127	0.6145194274	0.6617566442
128	0.614860259	0.6617270212
129	0.6145194274	0.6615924276
130	0.6155419223	0.6615561061
131	0.6157123381	0.661445186
132	0.6169052488	0.6611203309
133	0.6157123381	0.6610225997
134	0.6162235855	0.660992519
135	0.6162235855	0.6609445896
136	0.6163940014	0.6607785423
137	0.6165644172	0.6607596535
138	0.6170756646	0.6606681215
139	0.6177573279	0.660452023
140	0.6179277437	0.660295753
141	0.6174164963	0.6601542113
142	0.6175869121	0.66006451
143	0.6180981595	0.659792785
144	0.6180981595	0.6597537175
145	0.6180981595	0.6597259251
146	0.6189502386	0.659548894
147	0.6184389911	0.6595393248
148	0.6182685753	0.6594121786
149	0.6180981595	0.6592852821
150	0.618609407	0.659160757
151	0.6182685753	0.6590599055
152	0.6184389911	0.6590406422
153	0.6192910702	0.6589230236
154	0.6196319018	0.658887451
155	0.6191206544	0.6587578501
156	0.6192910702	0.6586381097
157	0.6198023177	0.6585203247
158	0.6206543967	0.6584855426
159	0.6203135651	0.6583081371
160	0.6199727335	0.6581902689
161	0.6196319018	0.6580877532
162	0.619461486	0.6580020876
163	0.6201431493	0.6579179614
164	0.6204839809	0.6578954113
165	0.6206543967	0.6578172763
166	0.6206543967	0.6577697629
167	0.6203135651	0.6576735712
168	0.6199727335	0.6575164275
169	0.6203135651	0.6575105611
170	0.6203135651	0.6573751771
171	0.6206543967	0.6572979574
172	0.6208248125	0.6572186575
173	0.6211656442	0.6572091714
174	0.6211656442	0.6571802557
175	0.62133606	0.657104825
176	0.6211656442	0.6570832734
177	0.6209952284	0.6569965677
178	0.6215064758	0.6568883104
179	0.6218473074	0.6568099258
180	0.6215064758	0.6567973193
181	0.62133606	0.6566992554
182	0.6220177232	0.6566261546
183	0.6223585549	0.656601233
184	0.6225289707	0.65656021
185	0.6223585549	0.6564706752
186	0.6218473074	0.6563773542
187	0.6218473074	0.6563125746
188	0.6209952284	0.6561753599
189	0.62133606	0.6560849513
190	0.6206543967	0.656067061
191	0.6206543967	0.6559580963
192	0.6216768916	0.6558445968
193	0.6196319018	0.655783936
194	0.6203135651	0.655777196
195	0.6209952284	0.6557445357
196	0.6208248125	0.6556514228
197	0.6209952284	0.6555540245
198	0.6209952284	0.6555219883
199	0.6209952284	0.6555138336
200	0.6208248125	0.6554659458
201	0.6216768916	0.6553574805
202	0.6225289707	0.6552549231
203	0.6223585549	0.6551788268
204	0.6226993865	0.6551547788
205	0.6220177232	0.6550673242
206	0.6220177232	0.655000922
207	0.6223585549	0.6549275716
208	0.6226993865	0.6548886705
209	0.6221881391	0.6548648722
210	0.6225289707	0.6547610251
211	0.6226993865	0.6546715734
212	0.6228698023	0.6546206484
213	0.6226993865	0.6545387273
214	0.6225289707	0.6544453648
215	0.6220177232	0.6544251861
216	0.6215064758	0.6543306586
217	0.6211656442	0.6542521076
218	0.6204839809	0.6541688967
219	0.6209952284	0.6541413539
220	0.6215064758	0.6540675875
221	0.6211656442	0.6540491563
222	0.6218473074	0.6540012269
223	0.6218473074	0.6539853336
224	0.6226993865	0.6538823186
225	0.6220177232	0.6537883735
226	0.6225289707	0.6537140662
227	0.6225289707	0.6536973408
228	0.6218473074	0.6536135475
229	0.6218473074	0.6536079724
230	0.6220177232	0.6535473949
231	0.6221881391	0.65351565
232	0.6220177232	0.6534367245
233	0.6225289707	0.6534058116
234	0.6225289707	0.6534019839
235	0.6226993865	0.6533388269
236	0.6230402181	0.6532900238
237	0.6233810498	0.653204483
238	0.6235514656	0.6531453201
239	0.6230402181	0.6531284283
240	0.6228698023	0.6530277848
241	0.6230402181	0.6530004916
242	0.6232106339	0.6529646693
243	0.6226993865	0.6528976846
244	0.6228698023	0.6528724717
245	0.6228698023	0.6528501712
246	0.6230402181	0.6527875134
247	0.6230402181	0.6527740333
248	0.6235514656	0.6527272688
249	0.6233810498	0.6526770094
250	0.6237218814	0.6526607001
251	0.6233810498	0.6525873914
252	0.6233810498	0.6525722886
253	0.6235514656	0.6525391291
254	0.6226993865	0.6524644057
255	0.6223585549	0.6524147705
256	0.6228698023	0.6523715424
257	0.6226993865	0.6523104657
258	0.6223585549	0.6522374065
259	0.6232106339	0.6521793254
260	0.6230402181	0.6521100939
261	0.6226993865	0.6520915379
262	0.6230402181	0.652009076
263	0.6228698023	0.6519175024
264	0.6228698023	0.6519008187
265	0.6226993865	0.6518929968
266	0.6226993865	0.6518686993
267	0.6221881391	0.6518475637
268	0.6226993865	0.6517904395
269	0.6225289707	0.651769928
270	0.6223585549	0.6517457969
271	0.6228698023	0.6516849697
272	0.6230402181	0.6516704078
273	0.6232106339	0.6516586335
274	0.6232106339	0.6516477745
275	0.6232106339	0.6516035895
276	0.6238922972	0.6515494193
277	0.624062713	0.6515396004
278	0.6235514656	0.6515030708
279	0.6237218814	0.6514882593
280	0.6235514656	0.6514670405
281	0.624062713	0.6514084601
282	0.6242331288	0.6513844954
283	0.6242331288	0.6510886808
284	0.6244035446	0.651085394
285	0.6245739605	0.6510158713
286	0.6252556237	0.6508234046
287	0.6257668712	0.6507689431
288	0.6250852079	0.6507267968
289	0.6257668712	0.6506781185
290	0.6257668712	0.6506053922
291	0.6257668712	0.6506006492
292	0.6257668712	0.6505866282
293	0.6264485344	0.6505231799
294	0.625937287	0.6504591075
295	0.6255964554	0.6504288188
296	0.625937287	0.6503997366
297	0.6255964554	0.650330422
298	0.6261077028	0.6503167754
299	0.6261077028	0.6503108258
300	0.625937287	0.6502622307
301	0.6255964554	0.6501358334
302	0.625937287	0.6501107869
303	0.6261077028	0.650095809
304	0.6264485344	0.6500900674
305	0.6262781186	0.6500478379
306	0.6261077028	0.6500448007
307	0.6261077028	0.6500356059
