iter	Passed	Remaining
0	3	12193
1	5	11071
2	10	13679
3	13	13448
4	15	12630
5	18	12130
6	21	12130
7	24	12397
8	27	12187
9	30	12089
10	32	11832
11	34	11558
12	36	11329
13	39	11153
14	41	11052
15	43	10944
16	46	10845
17	52	11567
18	54	11448
19	56	11331
20	59	11232
21	62	11287
22	64	11212
23	67	11149
24	69	11083
25	72	11021
26	74	10960
27	76	10863
28	78	10771
29	80	10669
30	82	10573
31	84	10487
32	86	10425
33	89	10466
34	92	10445
35	94	10410
36	96	10375
37	99	10339
38	101	10295
39	103	10254
40	105	10227
41	108	10201
42	110	10174
43	112	10132
44	114	10090
45	116	10048
46	119	10012
47	121	9989
48	123	9968
49	125	9947
50	128	9967
51	131	9953
52	133	9938
53	135	9899
54	137	9859
55	139	9821
56	141	9783
57	144	9817
58	148	9951
59	151	9937
60	154	9967
61	156	9965
62	158	9930
63	161	9902
64	163	9873
65	165	9841
66	167	9817
67	169	9794
68	171	9774
69	173	9758
70	175	9734
71	177	9710
72	179	9681
73	182	9665
74	184	9650
75	186	9632
76	188	9605
77	190	9587
78	192	9575
79	195	9563
80	197	9568
81	199	9556
82	202	9544
83	204	9532
84	206	9518
85	208	9505
86	210	9487
87	213	9472
88	215	9457
89	218	9473
90	220	9463
91	222	9449
92	224	9435
93	226	9420
94	228	9407
95	231	9394
96	233	9383
97	235	9367
98	237	9352
99	239	9337
100	241	9325
101	243	9312
102	245	9299
103	248	9290
104	250	9279
105	252	9266
106	254	9251
107	256	9237
108	258	9222
109	260	9207
110	262	9191
111	264	9176
112	266	9162
113	268	9150
114	270	9135
115	272	9123
116	274	9111
117	276	9097
118	278	9085
119	280	9070
120	283	9081
121	285	9076
122	287	9065
123	289	9052
124	291	9039
125	293	9027
126	295	9018
127	297	9009
128	300	9002
129	302	8995
130	304	8987
131	306	8979
132	308	8969
133	310	8961
134	312	8952
135	314	8943
136	316	8936
137	318	8927
138	321	8918
139	323	8909
140	325	8902
141	327	8894
142	329	8884
143	331	8875
144	333	8871
145	335	8863
146	337	8855
147	339	8847
148	342	8840
149	344	8833
150	346	8831
151	349	8840
152	351	8835
153	353	8830
154	355	8823
155	357	8817
156	359	8810
157	362	8804
158	364	8796
159	366	8789
160	368	8783
161	370	8776
162	372	8769
163	374	8764
164	376	8756
165	378	8749
166	380	8741
167	382	8734
168	384	8726
169	387	8720
170	389	8712
171	391	8704
172	393	8696
173	395	8689
174	397	8682
175	399	8674
176	401	8667
177	403	8658
178	405	8650
179	407	8641
180	409	8633
181	411	8626
182	414	8637
183	416	8631
184	418	8623
185	420	8615
186	422	8608
187	424	8599
188	426	8594
189	428	8590
190	430	8584
191	432	8579
192	434	8573
193	436	8567
194	438	8560
195	440	8554
196	442	8547
197	444	8541
198	446	8535
199	448	8528
200	450	8521
201	453	8518
202	455	8511
203	457	8505
204	459	8500
205	461	8494
206	463	8487
207	465	8481
208	467	8475
209	469	8467
210	471	8461
211	473	8456
212	475	8450
213	477	8451
214	480	8453
215	482	8449
216	484	8444
217	486	8438
218	488	8433
219	490	8428
220	492	8422
221	494	8417
222	496	8412
223	498	8406
224	500	8401
225	502	8393
226	504	8388
227	506	8383
228	508	8378
229	510	8372
230	512	8365
231	514	8359
232	516	8352
233	518	8345
234	520	8340
235	522	8334
236	524	8331
237	526	8325
238	528	8319
239	530	8314
240	532	8308
241	534	8302
242	536	8297
243	538	8292
244	540	8287
245	543	8290
246	550	8358
247	552	8359
248	554	8356
249	556	8353
250	559	8351
251	561	8349
252	563	8346
253	565	8342
254	568	8342
255	570	8337
256	572	8335
257	574	8331
258	576	8326
259	578	8321
260	580	8316
261	582	8312
262	584	8307
263	586	8302
264	588	8297
265	590	8292
266	592	8287
267	594	8282
268	596	8277
269	598	8272
270	600	8267
271	602	8264
272	605	8260
273	607	8260
274	609	8262
275	612	8258
276	614	8255
277	616	8251
278	618	8248
279	621	8253
280	623	8250
281	625	8247
282	627	8242
283	629	8238
284	631	8233
285	633	8229
286	636	8234
287	638	8231
288	640	8228
289	642	8225
290	645	8221
291	647	8218
292	649	8216
293	651	8211
294	653	8207
295	655	8202
296	657	8198
297	659	8193
298	661	8189
299	663	8185
300	665	8181
301	667	8177
302	669	8174
303	672	8172
304	674	8176
305	677	8174
306	679	8170
307	681	8166
308	683	8161
309	685	8157
310	687	8152
311	689	8148
312	691	8144
