,cumsumduration,cumsumwinner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsumwinMethods_[DEC],cumsumwinMethods_[DQ],cumsumwinMethods_[KO],cumsumwinMethods_[SUB],eventDate.date,fighterId,duration,winner,fighter_nbr,count_of_fights,fighterName
6266,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2019-10-19 04:00:00,1,300.0,True,1,0,Tanner Boser
6353,300.0,1,51.0,35.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0,0.0,25.0,11.0,15.0,15.0,11.0,9.0,51.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,2019-12-21 00:00:00,1,300.0,False,1,1,Tanner Boser
6532,600.0,1,88.0,48.0,0.0,0.0,0.0,0.0,88.0,48.0,0.0,0.0,55.0,17.0,18.0,18.0,15.0,13.0,88.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0,2020-06-27 00:00:00,1,161.0,True,1,2,Tanner Boser
6585,761.0,2,110.0,63.0,0.0,0.0,0.0,0.0,110.0,63.0,0.0,1.0,67.0,23.0,20.0,20.0,23.0,20.0,109.0,62.0,0.0,0.0,1.0,1.0,0,0,1,0,2020-07-25 00:00:00,1,156.0,True,1,3,Tanner Boser
6733,917.0,3,146.0,91.0,0.0,0.0,0.0,0.0,146.0,91.0,0.0,1.0,87.0,35.0,26.0,26.0,33.0,30.0,133.0,81.0,0.0,0.0,13.0,10.0,0,0,2,0,2020-11-07 00:00:00,1,300.0,False,1,4,Tanner Boser
4093,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2015-04-04 00:00:00,3,297.0,False,1,0,Shamil Abdurakhimov
4511,297.0,0,27.0,11.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,19.0,5.0,1.0,0.0,5.0,4.0,22.0,9.0,3.0,0.0,0.0,0.0,0,0,1,0,2016-02-21 00:00:00,3,300.0,True,1,1,Shamil Abdurakhimov
4799,597.0,1,70.0,46.0,1.0,0.0,0.0,0.0,56.0,33.0,0.0,0.0,42.0,23.0,5.0,3.0,9.0,7.0,38.0,20.0,18.0,13.0,0.0,0.0,1,0,1,0,2016-10-01 00:00:00,3,300.0,True,1,2,Shamil Abdurakhimov
4888,897.0,2,125.0,67.0,2.0,0.0,0.0,0.0,109.0,53.0,0.0,0.0,85.0,36.0,7.0,4.0,17.0,13.0,86.0,39.0,23.0,14.0,0.0,0.0,2,0,1,0,2016-12-09 00:00:00,3,222.0,False,1,3,Shamil Abdurakhimov
5320,1119.0,2,134.0,70.0,4.0,0.0,0.0,0.0,116.0,54.0,0.0,0.0,90.0,37.0,8.0,4.0,18.0,13.0,92.0,39.0,24.0,15.0,0.0,0.0,2,0,2,0,2017-11-25 00:00:00,3,84.0,True,1,4,Shamil Abdurakhimov
5694,1203.0,3,144.0,76.0,4.0,0.0,0.0,0.0,126.0,60.0,0.0,0.0,98.0,42.0,10.0,5.0,18.0,13.0,102.0,45.0,24.0,15.0,0.0,0.0,2,0,3,0,2018-09-15 00:00:00,3,300.0,True,1,5,Shamil Abdurakhimov
5996,1503.0,4,176.0,88.0,5.0,0.0,0.0,0.0,157.0,71.0,0.0,0.0,118.0,46.0,18.0,9.0,21.0,16.0,130.0,54.0,27.0,17.0,0.0,0.0,3,0,3,0,2019-04-20 00:00:00,3,195.0,True,1,6,Shamil Abdurakhimov
