,cumsum_duration,cumsum_winner,cumsum_hitsTotal,cumsum_hitsSuccessful,cumsum_takedownTotal,cumsum_takedownSuccessful,cumsum_submissionAttempts,cumsum_takeovers,cumsum_accentedHitsTotal,cumsum_accentedHitsSuccessful,cumsum_knockdowns,cumsum_protectionPassage,cumsum_hitsHeadTotal,cumsum_hitsHeadSuccessful,cumsum_hitsBodyTotal,cumsum_hitsBodySuccessful,cumsum_hitsLegsTotal,cumsum_hitsLegsSuccessful,cumsum_accentedHitsPositionDistanceTotal,cumsum_accentedHitsPositionDistanceSuccessful,cumsum_accentedHitsPositionClinchTotal,cumsum_accentedHitsPositionClinchSuccessful,cumsum_accentedHitsPositionParterTotal,cumsum_accentedHitsPositionParterSuccessful,cumsum_winMethods_[DEC],cumsum_winMethods_[DQ],cumsum_winMethods_[KO],cumsum_winMethods_[SUB],current_duration,winner,current_hitsTotal,current_hitsSuccessful,current_takedownTotal,current_takedownSuccessful,current_submissionAttempts,current_takeovers,current_accentedHitsTotal,current_accentedHitsSuccessful,current_knockdowns,current_protectionPassage,current_hitsHeadTotal,current_hitsHeadSuccessful,current_hitsBodyTotal,current_hitsBodySuccessful,current_hitsLegsTotal,current_hitsLegsSuccessful,current_accentedHitsPositionDistanceTotal,current_accentedHitsPositionDistanceSuccessful,current_accentedHitsPositionClinchTotal,current_accentedHitsPositionClinchSuccessful,current_accentedHitsPositionParterTotal,current_accentedHitsPositionParterSuccessful,current_winMethods_[DEC],current_winMethods_[DQ],current_winMethods_[KO],current_winMethods_[SUB],age,eventDate.date,fighterId,fighter_nbr,odds,winnerId,count_of_fights,win_streak,loose_streak,fighterName
6266,300.0,1,51.0,35.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0,0.0,25.0,11.0,15.0,15.0,11.0,9.0,51.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,300.0,True,51.0,35.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0,0.0,25.0,11.0,15.0,15.0,11.0,9.0,51.0,35.0,0.0,0.0,0.0,0.0,0,0,0,0,28.0,2019-10-19 04:00:00,1,1,1.65,1.0,0,1,0,Tanner Boser
6353,600.0,1,88.0,48.0,0.0,0.0,0.0,0.0,88.0,48.0,0.0,0.0,55.0,17.0,18.0,18.0,15.0,13.0,88.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0,300.0,False,37.0,13.0,0.0,0.0,0.0,0.0,37.0,13.0,0.0,0.0,30.0,6.0,3.0,3.0,4.0,4.0,37.0,13.0,0.0,0.0,0.0,0.0,0,0,0,0,28.0,2019-12-21 00:00:00,1,1,5.52,103.0,1,0,1,Tanner Boser
6532,761.0,2,110.0,63.0,0.0,0.0,0.0,0.0,110.0,63.0,0.0,1.0,67.0,23.0,20.0,20.0,23.0,20.0,109.0,62.0,0.0,0.0,1.0,1.0,0,0,1,0,161.0,True,22.0,15.0,0.0,0.0,0.0,0.0,22.0,15.0,0.0,1.0,12.0,6.0,2.0,2.0,8.0,7.0,21.0,14.0,0.0,0.0,1.0,1.0,0,0,1,0,29.0,2020-06-27 00:00:00,1,1,,1.0,2,1,0,Tanner Boser
6585,917.0,3,146.0,91.0,0.0,0.0,0.0,0.0,146.0,91.0,0.0,1.0,87.0,35.0,26.0,26.0,33.0,30.0,133.0,81.0,0.0,0.0,13.0,10.0,0,0,2,0,156.0,True,36.0,28.0,0.0,0.0,0.0,0.0,36.0,28.0,0.0,0.0,20.0,12.0,6.0,6.0,10.0,10.0,24.0,19.0,0.0,0.0,12.0,9.0,0,0,1,0,29.0,2020-07-25 00:00:00,1,1,,1.0,3,2,0,Tanner Boser
6733,1217.0,3,201.0,120.0,0.0,0.0,0.0,0.0,201.0,120.0,0.0,1.0,117.0,42.0,29.0,27.0,55.0,51.0,187.0,110.0,1.0,0.0,13.0,10.0,1,0,2,0,300.0,False,55.0,29.0,0.0,0.0,0.0,0.0,55.0,29.0,0.0,0.0,30.0,7.0,3.0,1.0,22.0,21.0,54.0,29.0,1.0,0.0,0.0,0.0,1,0,0,0,29.0,2020-11-07 00:00:00,1,1,1.29,277.0,4,0,1,Tanner Boser
4093,297.0,0,27.0,11.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,19.0,5.0,1.0,0.0,5.0,4.0,22.0,9.0,3.0,0.0,0.0,0.0,0,0,1,0,297.0,False,27.0,11.0,1.0,0.0,0.0,0.0,25.0,9.0,0.0,0.0,19.0,5.0,1.0,0.0,5.0,4.0,22.0,9.0,3.0,0.0,0.0,0.0,0,0,1,0,34.0,2015-04-04 00:00:00,3,1,1.41,615.0,0,0,1,Shamil Abdurakhimov
4511,597.0,1,70.0,46.0,1.0,0.0,0.0,0.0,56.0,33.0,0.0,0.0,42.0,23.0,5.0,3.0,9.0,7.0,38.0,20.0,18.0,13.0,0.0,0.0,1,0,1,0,300.0,True,43.0,35.0,0.0,0.0,0.0,0.0,31.0,24.0,0.0,0.0,23.0,18.0,4.0,3.0,4.0,3.0,16.0,11.0,15.0,13.0,0.0,0.0,1,0,0,0,35.0,2016-02-21 00:00:00,3,1,2.0,3.0,1,1,0,Shamil Abdurakhimov
4799,897.0,2,125.0,67.0,2.0,0.0,0.0,0.0,109.0,53.0,0.0,0.0,85.0,36.0,7.0,4.0,17.0,13.0,86.0,39.0,23.0,14.0,0.0,0.0,2,0,1,0,300.0,True,55.0,21.0,1.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,43.0,13.0,2.0,1.0,8.0,6.0,48.0,19.0,5.0,1.0,0.0,0.0,1,0,0,0,35.0,2016-10-01 00:00:00,3,1,1.81,3.0,2,2,0,Shamil Abdurakhimov
4888,1119.0,2,134.0,70.0,4.0,0.0,0.0,0.0,116.0,54.0,0.0,0.0,90.0,37.0,8.0,4.0,18.0,13.0,92.0,39.0,24.0,15.0,0.0,0.0,2,0,2,0,222.0,False,9.0,3.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,35.0,2016-12-09 00:00:00,3,1,3.1,200.0,3,0,1,Shamil Abdurakhimov
5320,1203.0,3,144.0,76.0,4.0,0.0,0.0,0.0,126.0,60.0,0.0,0.0,98.0,42.0,10.0,5.0,18.0,13.0,102.0,45.0,24.0,15.0,0.0,0.0,2,0,3,0,84.0,True,10.0,6.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,8.0,5.0,2.0,1.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0,0,1,0,36.0,2017-11-25 00:00:00,3,1,1.75,3.0,4,1,0,Shamil Abdurakhimov
5694,1503.0,4,176.0,88.0,5.0,0.0,0.0,0.0,157.0,71.0,0.0,0.0,118.0,46.0,18.0,9.0,21.0,16.0,130.0,54.0,27.0,17.0,0.0,0.0,3,0,3,0,300.0,True,32.0,12.0,1.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,20.0,4.0,8.0,4.0,3.0,3.0,28.0,9.0,3.0,2.0,0.0,0.0,1,0,0,0,37.0,2018-09-15 00:00:00,3,1,1.83,3.0,5,2,0,Shamil Abdurakhimov
